代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
00325,0325.HK,Consumer Cyclical,79.0,195.13,23.227985,35.25,122.0,107.61,nan,,,,22.09,0.82,896927000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00780,0780.HK,Consumer Cyclical,13.35,314.26,10.885219,47.48,25.42,43.35,nan,,,,10.51,12.89,4310911000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00788,0788.HK,Communication Services,9.35,436.31,10.482813,27.24,12.85,2.9,9.79,,,,5.7,26.88,56116000000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00836,0836.HK,Utilities,18.24,944.28,6.504993,17.69,22.16,-0.42,25.6,,,,12.1,53.31,44650887000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00867,0867.HK,Healthcare,11.57,281.5,15.64620399999999,25.98,15.63,-3.54,-22.98,,,,8.56,3.59,758421000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00902,0902.HK,Utilities,5.415,254.53,6.245675,29.03,7.63,-2.41,nan,,,,10.11,50.49,67212899994.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01093,1093.HK,Healthcare,9.19,1058.87,12.385445,20.98,11.63,-5.62,-13.94,,,,11.7,1.37,5831641000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01099,1099.HK,Healthcare,16.65,223.41,6.289803,25.47,22.34,1.37,-5.67,,,,8.52,18.18,14138206000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01199,1199.HK,Industrials,5.275,211.9,8.327232,19.59,6.56,5.01,0.6,,,,4.87,32.47,611634000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01208,1208.HK,Basic Materials,9.325,1197.89,13.803442,22.03,11.96,24.09,43.5,,,,12.86,24.96,2689500000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01318,1318.HK,Consumer Defensive,50.65,248.28,17.662492,54.78,112.0,40.29,50.66,,,,25.8,1.38,1199426000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01364,1364.HK,Consumer Cyclical,24.94,593.07,14.770627,20.27,31.28,32.44,103.93,,,,53.39,39.16,2408612000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02610,2610.HK,Basic Materials,27.8,172.36,9.712662,62.83,74.8,34.74,82.05,,,,21.92,0.0,359719000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02714,2714.HK,Consumer Defensive,33.7,104.47,16.907602,33.53,50.7,4.91,5.29,,,,19.93,40.9,30056186914.47,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02788,2788.HK,Basic Materials,16.49,342.17,7.129269,51.44,33.96,11.46,45.79,,,,28.38,44.41,4925305000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02921,2921.HK,,42.22,494.44,17.466035,,,,,,,,nan,,,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02997,2997.HK,,52.7,280.89,15.206362,,,,,,,,nan,,,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03355,3355.HK,Technology,38.9,157.81,22.949853,31.75,57.0,14.26,18.17,,,,27.85,16.08,816725000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06031,6031.HK,Industrials,19.05,137.35,18.370299,29.86,27.16,3.53,25.14,,,,9.52,14.27,19975261000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06936,6936.HK,Industrials,32.62,149.73,13.292584,30.18,46.72,4.84,21.66,,,,11.19,21.2,27555275000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
07618,7618.HK,Consumer Cyclical,13.27,360.02,12.602089,22.71,17.17,19.22,nan,,,,20.64,0.04,2089421000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09973,9973.HK,Consumer Cyclical,26.96,634.91,7.431423,22.93,34.98,48.01,44.79,,,,37.47,7.73,20130000000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02899,2899.HK,Basic Materials,38.56,2309.36,14.604355,17.92,46.98,8.9,37.21,,,,27.91,32.13,75429516296.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06862,6862.HK,Consumer Cyclical,11.48,639.9,13.154736,35.72,17.86,11.67,43.36,,,,40.44,26.87,5664189000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06886,6886.HK,Financial Services,16.97,291.72,7.798169,22.65,21.94,1.74,14.02,,,,7.92,28.16,-12601571386.35,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02588,2588.HK,Industrials,73.05,506.97,8.244249,20.55,91.95,4.01,239.83,,,,11.51,65.17,2938049000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02600,2600.HK,Basic Materials,8.4,331.3,8.419616,45.98,15.55,-6.07,44.6,,,,16.92,28.01,34092341000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02611,2611.HK,Financial Services,15.03,526.95,7.080518,18.89,18.53,21.35,34.19,,,,8.42,24.11,81138252377.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02618,2618.HK,Industrials,11.81,782.29,8.827993,29.53,16.76,16.48,nan,,,,12.16,18.02,18765124000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02688,2688.HK,Utilities,48.0,543.36,7.746717,34.96,73.8,0.56,0.21,,,,12.35,18.62,10433000000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02689,2689.HK,Basic Materials,6.875,322.59,8.469746,31.04,9.97,-3.99,-52.13,,,,1.56,49.88,-794199000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
86618,86618.HK,,33.06,1061.56,16.962545,48.14,63.75,,,,,,nan,,,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
89618,89618.HK,,98.6,2461.57,19.997708,25.02,131.5,,,,,,nan,,,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
89988,89988.HK,,105.5,20229.62,19.119246,38.12,170.5,,,,,,nan,,,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02883,2883.HK,Energy,7.485,135.56,8.033207,36.24,11.74,12.14,17.66,,,,8.25,20.0,11289935638.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09618,9618.HK,Consumer Cyclical,115.2,2875.99,18.178949,19.89,143.8,7.76,23.67,,,,8.72,15.41,18991000000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09636,9636.HK,Consumer Defensive,27.68,128.16,11.628051,67.07,84.05,22.85,26.02,,,,31.04,0.08,824247000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00010,0010.HK,Real Estate,12.8,174.29,12.235924,27.02,17.54,-1.63,-20.42,,,,1.39,23.33,6062000000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01378,1378.HK,Basic Materials,23.18,2276.04,8.331856,43.96,41.36,7.22,37.53,,,,17.07,29.56,38995459000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01415,1415.HK,Technology,23.32,202.65,12.018785,45.84,43.06,46.37,32.68,,,,27.12,10.85,316306000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01428,1428.HK,Financial Services,7.68,130.33,19.443038,54.5,16.88,4.57,2.6,,,,30.86,51.4,-540421000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00856,0856.HK,Technology,9.62,137.57,9.850502,24.37,12.72,8.08,18.03,,,,13.35,21.48,1954632000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00857,0857.HK,Energy,10.13,2137.32,10.041506,17.1,12.22,-4.01,1.88,,,,9.92,12.51,412510000000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00868,0868.HK,Basic Materials,9.16,405.51,11.955459,25.83,12.35,-2.87,-15.53,,,,7.41,10.09,5321500000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01128,1128.HK,Consumer Cyclical,5.905,310.9,19.048387,20.2,7.4,72.54,nan,,,,-12.07,110.76,7369391000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01133,1133.HK,Industrials,17.69,119.51,12.717043,38.75,28.88,22.86,200.1,,,,14.98,7.98,2284202514.81,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01138,1138.HK,Energy,16.77,217.34,14.710526,25.13,22.4,8.48,40.33,,,,8.7,38.48,7389147000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01258,1258.HK,Basic Materials,15.33,598.18,18.868113,19.53,19.05,-5.82,14.94,,,,16.26,1.88,938657000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01286,1286.HK,Industrials,9.0,175.23,21.260161,23.73,11.8,5.38,7.66,,,,12.96,25.89,1258721000.0,2026-08-23,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
