二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
11,WSE,Technology,72.8,A-优先三件套,7.0,25.831096,28.56,30.26,52.29,否,利润增长显著快于营收,17.47,30.26,52.29,15.88,22.08,,73.17,18.47,25.9,1.72,1.45,0.25,34.87,1.07,0.09,15.1,-1.21,7553900000.0
12,MZTI,Consumer Defensive,70.3,B-保留观察,0.0,18.299966,40.04,4.43,23.16,否,无,190.96,4.43,23.16,36.95,-10.91,5.37,23.87,8.77,16.76,13.49,4.36,0.06,,2.38,1.54,1.22,0.02,261496000.0
13,SPOT,Communication Services,70.3,B-保留观察,6.0,29.31833,28.06,13.59,nan,否,股数膨胀>2%,745.0,13.59,nan,299.5,2.21,,31.98,12.87,26.56,16.37,13.03,0.23,72.74,1.72,1.27,1.3,2.12,2933000000.0
14,INFY,Technology,70.1,B-保留观察,0.0,14.849414,60.62,3.44,3.58,否,无,30.0,3.44,3.58,12.29,6.29,,30.16,16.44,33.85,19.57,5.88,0.1,96.87,1.98,1.19,1.13,-0.73,4039000000.0
15,CHKP,Technology,69.8,B-保留观察,0.0,13.478404,37.48,5.37,9.87,否,无,210.66,5.37,9.87,2.97,6.09,,86.72,38.78,36.67,15.59,25.26,0.68,473.55,2.05,0.4,1.11,-4.37,1199400000.0
16,NICE,Technology,69.2,B-保留观察,7.0,14.570588,34.95,10.53,32.03,否,利润增长显著快于营收,153.68,10.53,32.03,14.31,12.48,,66.41,20.78,15.79,11.77,1.74,0.02,,1.55,0.57,1.02,-1.71,716549000.0
17,ITRI,Technology,68.5,B-保留观察,0.0,16.484008,31.29,9.65,nan,否,无,142.0,9.65,nan,154.94,11.1,2.03,37.69,12.72,17.54,8.45,34.08,0.74,16.25,1.8,0.66,1.27,-0.19,405952000.0
18,BRO,Financial Services,66.7,B-保留观察,6.0,22.505782,26.77,17.38,16.19,否,股数膨胀>2%,97.73,17.38,16.19,18.07,12.26,,49.07,18.29,8.4,4.43,26.4,0.63,5.48,1.04,0.24,1.31,5.86,1450000000.0
19,MORN,Financial Services,66.3,B-保留观察,7.0,20.328259,19.99,9.34,74.44,否,利润增长显著快于营收,266.05,9.34,74.44,25.57,8.23,,61.03,15.3,30.62,10.48,35.13,1.03,13.47,0.99,0.69,1.18,-2.2,589700000.0
20,SNDK,Technology,65.4,B-保留观察,14.0,21.26993,31.36,49.29,nan,否,ROE>40%；应收增速>营收,2354.39,49.29,nan,nan,124.39,17.48,71.47,56.46,72.66,64.43,0.79,0.01,179.32,2.29,1.14,1.01,0.0,11671000000.0
21,NYT,Communication Services,64.7,B-保留观察,0.0,27.477849,25.41,6.96,25.53,否,无,87.1,6.96,25.53,57.12,10.16,,50.81,12.18,16.85,11.78,1.22,0.02,387.68,1.54,0.97,1.6,-0.66,584489000.0
22,APP,Communication Services,64.3,B-保留观察,14.0,23.891991,58.0,24.84,nan,否,ROE>40%；应收增速>营收,745.61,24.84,nan,112.68,37.31,,87.86,60.83,156.17,50.79,48.83,1.66,20.09,3.32,0.83,1.18,-3.28,3971094000.0
23,AGI,Basic Materials,64.1,B-保留观察,21.0,12.810036,35.46,30.11,187.95,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,55.41,30.11,187.95,38.63,,-1.27,55.25,48.97,19.92,15.12,3.49,0.05,103.8,2.0,0.31,0.31,2.16,795300000.0
24,BVN,Basic Materials,64.0,B-保留观察,8.0,8.105665,23.82,28.05,9.08,否,FCF/NI<70%,44.67,28.05,9.08,nan,33.88,-5.03,45.18,45.17,19.26,14.13,0.15,0.0,17.57,2.01,0.31,0.13,0.0,238347000.0
25,FRSH,,63.4,B-保留观察,0.0,20.009951,,18.98,nan,否,无,,18.98,nan,nan,,,84.96,21.9,nan,,,,,,,1.2,,242370000.0
26,BTG,Basic Materials,63.3,B-保留观察,6.0,9.398999,16.85,20.89,16.7,否,股数膨胀>2%,6.29,20.89,16.7,14.56,nan,23.62,50.01,13.13,11.18,7.52,10.18,0.17,26.91,1.06,0.57,2.23,7.65,895836000.0
27,ANF,Consumer Cyclical,63.2,B-保留观察,7.0,10.073119,22.39,12.51,464.64,否,利润增长显著快于营收,133.11,12.51,464.64,nan,11.98,5.94,61.47,9.63,36.11,14.82,32.98,0.83,304.48,1.49,1.54,0.75,-3.21,619142000.0
28,ZTS,Healthcare,63.2,B-保留观察,6.0,12.556276,52.79,5.42,8.13,否,ROE>40%,159.0,5.42,8.13,14.95,9.38,1.19,71.84,28.23,80.25,18.0,59.73,2.77,16.14,3.03,0.64,0.85,-2.88,2904000000.0
29,AOS,Industrials,63.0,B-保留观察,7.0,17.777798,23.49,0.67,32.33,否,利润增长显著快于营收,81.87,0.67,32.33,16.37,0.06,-2.45,38.83,14.26,29.4,17.11,6.11,0.1,53.97,1.5,1.2,1.0,-2.87,616800000.0
30,TS,,62.9,B-保留观察,0.0,14.219451,,0.62,-8.86,否,无,,0.62,-8.86,30.59,-8.34,-3.33,34.39,16.13,11.64,9.54,2.24,0.03,53.71,3.87,0.59,1.03,-5.01,2599580000.0
31,BZ,Communication Services,61.3,B-保留观察,21.0,15.461613,37.93,22.38,194.36,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,25.26,22.38,194.36,65.57,49.78,nan,85.06,33.09,13.66,12.47,0.64,0.01,,4.66,0.38,1.62,2.46,4552371000.0
32,ACIW,Technology,60.2,B-保留观察,0.0,23.680691,15.78,7.37,16.82,否,无,61.08,7.37,16.82,31.07,-1.99,,48.99,12.88,14.92,7.39,27.35,0.56,6.3,1.54,0.57,1.28,-1.68,322831000.0
33,RELX,Industrials,59.9,B-保留观察,6.0,21.201247,27.56,3.89,8.12,否,ROE>40%,48.61,3.89,8.12,5.71,1.38,0.22,66.29,21.53,87.28,13.82,49.24,3.07,11.07,0.49,0.64,1.12,-1.6,2836000000.0
34,CRM,Technology,59.5,B-保留观察,7.0,23.92342,23.6,9.82,229.74,否,利润增长显著快于营收,269.11,9.82,229.74,28.24,10.06,,77.68,17.96,12.61,6.93,15.29,0.29,,0.76,0.39,1.93,-1.8,14996000000.0
35,HII,Industrials,59.5,B-保留观察,0.0,18.566328,33.41,5.35,1.47,否,无,460.0,5.35,1.47,16.01,-18.92,6.17,12.7,4.85,11.93,4.86,22.93,0.58,8.4,1.13,1.0,1.31,-0.55,1196000000.0
36,VICI,Real Estate,59.3,B-保留观察,6.0,10.22093,22.1,15.49,35.42,否,股数膨胀>2%,33.91,15.49,35.42,8.9,-38.52,,99.33,69.28,9.98,6.03,37.86,0.64,4.34,26.68,0.09,0.9,3.53,2509991000.0
37,ARIS,Basic Materials,59.2,B-保留观察,6.0,14.315258,15.16,32.37,nan,否,股数膨胀>2%,23.29,32.37,nan,69.26,-43.05,28.29,49.61,8.45,5.42,3.48,20.96,0.36,6.36,1.76,0.41,1.65,14.74,372974000.0
38,CVSA,Consumer Defensive,59.0,B-保留观察,7.0,18.720496,15.23,10.44,39.16,否,利润增长显著快于营收,156.26,10.44,39.16,34.83,18.17,,57.34,12.87,17.4,8.73,30.06,0.63,9.81,1.09,0.68,1.56,-7.0,470422000.0
39,NOC,Industrials,59.0,B-保留观察,0.0,18.50308,24.53,4.65,-5.12,否,无,774.0,4.65,-5.12,17.92,-3.1,10.2,19.81,9.97,25.08,8.3,33.13,1.02,8.62,1.1,0.83,0.79,-2.49,4757000000.0
40,YMM,Technology,58.9,B-保留观察,15.0,15.126357,39.41,22.87,121.3,否,利润增长显著快于营收；应收增速>营收,14.07,22.87,121.3,nan,79.39,,63.02,35.29,11.01,10.3,0.08,0.0,,8.09,0.29,1.02,-0.71,4626880000.0
41,BFAM,Consumer Cyclical,58.7,B-保留观察,7.0,23.113781,41.1,13.24,33.79,否,利润增长显著快于营收,124.25,13.24,33.79,23.0,10.62,,23.77,6.58,14.42,4.99,45.26,1.31,7.03,0.52,0.76,1.34,-1.12,350726000.0
42,YETI,Consumer Cyclical,58.1,B-保留观察,8.0,19.219173,19.71,5.41,22.63,否,应收增速>营收,53.99,5.41,22.63,36.17,21.19,-7.85,57.41,8.85,25.43,13.12,18.49,0.35,498.25,1.98,1.48,0.92,-4.62,254737000.0
43,CCL,Consumer Cyclical,57.1,C-暂缓,0.0,12.245619,23.88,29.81,nan,否,无,34.03,29.81,nan,nan,19.73,5.67,40.1,10.37,22.47,5.48,54.16,2.28,3.05,0.32,0.53,0.94,1.41,6218000000.0
44,ZTO,Industrials,56.8,C-暂缓,8.0,11.37849,18.66,11.54,10.07,否,FCF/NI<70%,26.2,11.54,10.07,1.4,3.49,0.09,24.99,18.49,13.68,9.9,12.61,0.17,45.46,1.49,0.54,0.65,-1.01,11968419000.0
45,SGI,Consumer Cyclical,56.5,C-暂缓,6.0,26.298923,33.99,14.96,-5.54,否,股数膨胀>2%,98.56,14.96,-5.54,28.31,-5.34,4.32,42.58,5.14,12.36,4.37,57.54,2.15,2.8,0.83,0.85,1.65,7.2,800100000.0
46,XYL,Industrials,56.4,C-暂缓,13.0,27.649864,25.27,17.84,39.17,否,利润增长显著快于营收；股数膨胀>2%,154.27,17.84,39.17,27.7,17.08,7.15,38.46,10.59,8.34,5.61,11.7,0.18,41.72,1.62,0.53,0.95,10.57,1241000000.0
47,TEL,Technology,55.9,C-暂缓,0.0,19.935404,20.24,1.97,-8.8,否,无,252.56,1.97,-8.8,18.81,5.9,0.29,35.22,10.67,14.64,7.69,23.2,0.46,42.61,1.56,0.72,1.74,-2.53,4139000000.0
48,FISV,,55.8,C-暂缓,0.0,9.983817,63.46,6.11,11.21,否,无,140.19,6.11,11.21,9.49,3.55,,59.36,16.42,13.49,4.42,36.34,1.13,3.79,1.03,0.27,1.24,-5.36,6062000000.0
49,ASR,Industrials,55.8,C-暂缓,18.0,13.684809,32.22,13.73,1.65,否,经营现金流3Y为负；FCF/NI<70%,381.52,13.73,1.65,-2.97,0.27,12.94,46.57,28.17,26.55,12.13,39.89,0.9,10.74,3.03,0.43,0.43,0.0,12348613000.0
50,IT,Technology,55.8,C-暂缓,6.0,17.634508,28.26,5.87,-3.35,否,ROE>40%,265.85,5.87,-3.35,5.42,2.66,,68.39,11.22,227.95,8.78,41.41,10.47,8.73,1.0,0.78,1.61,-3.64,1290365000.0
51,ADMA,Healthcare,55.7,C-暂缓,22.0,14.349927,52.15,49.05,nan,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,20.46,49.05,nan,nan,117.0,8.14,57.39,28.8,30.78,26.4,12.8,0.17,26.69,6.71,0.92,0.19,2.36,50396000.0
52,COKE,Consumer Defensive,55.6,C-暂缓,0.0,24.975368,15.16,5.24,9.87,否,无,219.65,5.24,9.87,18.89,3.66,-1.08,39.74,7.89,-77.13,11.87,67.56,-3.93,19.11,1.26,1.5,1.09,-10.78,931904000.0
53,CRH,Basic Materials,55.3,C-暂缓,0.0,16.698687,29.26,4.6,-1.15,否,无,131.55,4.6,-1.15,13.97,3.14,7.78,36.13,9.96,15.54,6.85,33.78,0.82,6.93,1.74,0.69,0.78,-3.53,5625000000.0
54,NHI,Real Estate,55.3,C-暂缓,6.0,21.383082,18.65,10.53,28.89,否,股数膨胀>2%,91.38,10.53,28.89,8.47,1.45,,97.08,37.85,9.34,5.25,41.61,0.76,3.61,1.07,0.14,1.66,3.64,236563000.0
55,VMI,Industrials,55.2,C-暂缓,0.0,18.856453,17.44,-1.89,10.1,否,无,585.71,-1.89,10.1,11.85,-0.78,-8.06,30.21,8.16,20.5,9.99,27.47,0.57,10.31,2.35,1.23,0.93,-3.72,456484000.0
56,COF,Financial Services,54.9,C-暂缓,6.0,12.87242,17.76,15.98,-30.67,否,股数膨胀>2%,259.64,15.98,-30.67,26.14,18.4,,nan,4.59,2.16,0.42,7.54,0.44,,,0.09,10.66,17.91,27718000000.0
57,CTSH,Technology,54.5,C-暂缓,0.0,13.124668,30.35,2.8,-0.88,否,无,87.03,2.8,-0.88,3.93,5.35,,33.72,10.56,14.85,10.97,5.57,0.08,95.03,2.14,1.04,1.16,-2.0,2883000000.0
58,INGR,Consumer Defensive,53.6,C-暂缓,0.0,11.642591,18.14,-3.15,14.0,否,无,130.48,-3.15,14.0,83.81,-4.93,-8.41,25.32,10.1,16.8,9.5,24.96,0.45,27.32,2.66,0.94,0.7,-1.39,944000000.0
59,CNM,Industrials,52.7,C-暂缓,6.0,19.197828,33.57,4.76,6.41,否,股数膨胀>2%,67.18,4.76,6.41,17.47,4.85,-1.98,26.93,5.77,22.08,7.38,40.05,1.22,6.06,2.63,1.28,1.37,3.0,650000000.0
60,WYNN,Consumer Cyclical,52.2,C-暂缓,0.0,23.995998,27.51,23.86,nan,否,无,134.72,23.86,nan,nan,23.06,8.07,41.43,4.59,-118.82,2.51,92.89,-44.2,1.82,1.63,0.55,2.11,-2.84,1352653000.0
61,XP,Financial Services,52.1,C-暂缓,8.0,8.448376,30.74,10.28,13.04,否,应收增速>营收,23.13,10.28,13.04,88.31,29.34,,26.0,64.89,21.96,1.39,26.28,4.43,9.71,0.71,0.02,2.24,-1.41,12044826000.0
62,AROC,Energy,52.0,C-暂缓,21.0,17.354803,24.08,20.78,93.77,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,42.23,20.78,93.77,45.15,1.15,9.05,48.57,21.63,21.61,7.89,55.67,1.62,3.56,1.54,0.36,0.37,3.96,622107000.0
63,NTCT,Technology,51.9,C-暂缓,0.0,23.558103,16.01,-2.05,17.0,否,无,45.28,-2.05,17.0,23.43,1.73,-13.01,79.41,11.11,5.79,4.21,1.68,0.02,70.51,1.85,0.38,2.99,0.1,294538000.0
64,CHDN,Consumer Cyclical,51.3,C-暂缓,8.0,15.57725,22.05,17.37,-4.48,否,应收增速>营收,118.35,17.37,-4.48,12.77,40.27,-16.82,33.58,13.09,37.93,5.19,68.66,5.09,2.79,0.6,0.4,0.81,-2.37,769800000.0
65,OBDC,Financial Services,51.3,C-暂缓,6.0,19.752028,21.64,9.83,10.39,否,股数膨胀>2%,14.44,9.83,10.39,100.13,,,nan,88.41,8.48,4.04,54.11,1.26,,,0.05,2.78,8.37,1741520000.0
66,MBGL,Technology,50.3,C-暂缓,0.0,29.755399,22.13,8.56,-7.32,否,无,26.0,8.56,-7.32,11.09,3.64,,nan,8.0,1.22,1.07,1.91,0.02,2.92,1.07,0.13,3.29,0.0,485000000.0
67,COR,Healthcare,50.2,C-暂缓,6.0,23.556517,16.17,10.43,-2.92,否,ROE>40%,377.54,10.43,-2.92,12.76,10.98,9.62,3.57,0.48,103.06,2.16,10.0,5.08,6.38,0.9,4.47,2.06,-2.02,3875120000.0
68,CBZ,Industrials,50.1,C-暂缓,6.0,26.379808,18.29,25.0,3.1,否,股数膨胀>2%,67.24,25.0,3.1,15.13,20.61,,12.89,4.19,6.55,2.6,41.47,1.04,2.5,1.22,0.62,1.52,2.72,192485000.0
69,ACM,Industrials,50.0,C-暂缓,0.0,29.553427,52.32,7.07,21.84,否,无,135.52,7.07,21.84,4.81,2.51,,7.54,3.48,22.54,4.63,26.47,1.3,5.97,1.14,1.33,1.22,-1.75,821602000.0
70,BAH,Industrials,48.5,C-暂缓,13.0,12.397211,30.4,6.6,46.44,否,利润增长显著快于营收；ROE>40%,112.22,6.6,46.44,19.96,0.2,,52.71,7.59,77.01,11.79,57.91,3.73,5.14,1.78,1.55,1.12,-2.95,1041000000.0
71,OSK,Industrials,48.2,C-暂缓,7.0,17.13418,16.28,7.96,54.95,否,利润增长显著快于营收,180.49,7.96,54.95,9.22,7.81,8.38,17.45,6.21,14.28,6.64,10.93,0.24,8.16,1.94,1.07,0.88,-1.49,783400000.0
72,WING,Consumer Cyclical,48.1,C-暂缓,23.0,28.617218,65.64,24.91,48.75,否,利润增长显著快于营收；应收增速>营收；FCF/NI<70%,342.1,24.91,48.75,26.15,33.89,5.14,48.68,25.01,-23.65,24.72,183.21,-1.72,7.63,3.26,0.99,0.61,-2.74,153065000.0
73,CSL,Industrials,48.0,C-暂缓,6.0,21.020885,18.11,-2.7,-7.11,否,ROE>40%,432.91,-2.7,-7.11,3.25,-1.18,-4.77,35.71,14.76,41.26,12.26,46.01,1.6,13.09,3.09,0.83,1.31,-6.96,1101800000.0
74,JLL,,47.7,C-暂缓,0.0,18.662834,,7.77,6.57,否,无,,7.77,6.57,,,,42.3,3.03,nan,,,,,,,nan,,
75,NWG,,47.3,C-暂缓,0.0,9.328547,,7.55,17.56,否,无,,7.55,17.56,,,,nan,35.11,nan,,,,,,,nan,,
76,MGM,Consumer Cyclical,45.9,C-暂缓,0.0,27.050743,16.86,10.14,-48.11,否,无,51.59,10.14,-48.11,12.93,9.63,-0.41,44.42,1.17,8.47,0.49,75.83,12.91,1.67,1.23,0.42,7.09,-12.0,2529378000.0
77,AMRZ,Basic Materials,45.8,C-暂缓,0.0,20.304022,31.42,3.28,2.26,否,无,65.94,3.28,2.26,3.56,3.77,8.09,25.68,10.03,8.94,4.93,26.16,0.48,4.62,1.64,0.49,1.2,0.02,2208000000.0
78,OTIS,Industrials,45.8,C-暂缓,0.0,18.490711,24.44,1.79,3.37,否,无,94.56,1.79,3.37,0.76,4.51,-0.22,30.28,9.59,-25.67,12.6,79.89,-1.58,,0.85,1.31,1.04,-2.05,1596000000.0
79,WMS,Industrials,45.6,C-暂缓,0.0,25.369395,20.14,-0.23,-5.61,否,无,179.31,-0.23,-5.61,4.99,5.13,5.41,38.27,13.98,22.07,10.41,39.8,0.93,6.96,2.42,0.74,1.33,-0.75,819054000.0
80,AGO,Financial Services,45.5,C-暂缓,15.0,9.973528,19.07,14.43,59.48,否,利润增长显著快于营收；FCF/NI<70%,92.4,14.43,59.48,nan,9.13,,nan,49.07,8.88,4.18,13.99,0.3,8.44,,0.09,0.51,-8.52,259000000.0
81,AEO,Consumer Cyclical,45.4,C-暂缓,0.0,10.351375,43.36,3.59,15.33,否,无,28.46,3.59,15.33,3.94,2.18,6.26,36.51,3.46,11.34,4.9,42.41,1.0,22.93,1.51,1.42,1.02,-4.68,456182000.0
82,BDC,Technology,45.2,C-暂缓,0.0,20.84091,21.6,1.37,-2.3,否,无,159.99,1.37,-2.3,8.05,1.69,5.61,37.98,8.75,18.78,6.91,39.57,1.11,6.76,1.93,0.79,0.92,-3.12,354864000.0
83,CPA,Industrials,45.2,C-暂缓,8.0,8.521657,19.81,6.86,24.5,否,FCF/NI<70%,160.47,6.86,24.5,14.89,14.56,16.65,35.56,18.56,24.2,10.9,35.01,0.83,8.88,1.31,0.59,0.08,1.44,1150436000.0
84,FERG,,45.2,C-暂缓,0.0,23.744815,,2.5,-4.37,否,无,,2.5,-4.37,18.42,,,30.67,6.03,nan,,,,13.75,,,0.86,,1908000000.0
85,DUK,,44.9,C-暂缓,0.0,18.553118,,,,否,无,,,,27.66,,,nan,nan,nan,,,,,,,nan,,12330000000.0
86,AGCO,Industrials,44.4,C-暂缓,0.0,13.6477,28.58,-7.29,-6.53,否,无,143.78,-7.29,-6.53,5.64,-4.03,-5.3,25.46,7.21,17.0,6.29,21.49,0.6,5.89,1.39,0.87,1.02,-0.89,988100000.0
87,OTEX,Technology,44.3,C-暂缓,7.0,9.5,39.52,5.37,62.31,否,利润增长显著快于营收,39.9,5.37,62.31,8.92,3.24,,73.74,12.26,16.02,4.78,45.57,1.49,3.44,0.81,0.39,1.26,-3.67,1006817000.0
88,AMT,Real Estate,44.0,C-暂缓,6.0,24.002888,17.83,3.34,12.73,否,ROE>40%,214.79,3.34,12.73,13.92,-4.99,,74.18,23.76,69.25,4.07,71.16,12.31,3.24,0.4,0.17,1.5,0.05,5464000000.0
89,TILE,,43.8,C-暂缓,0.0,15.923509,,,,否,无,,,,57.4,,,nan,nan,nan,,,,,,,nan,,167906000.0
90,BANF,Financial Services,43.7,C-暂缓,8.0,15.238229,18.75,7.4,7.61,否,应收增速>营收,138.77,7.4,7.61,8.03,28.87,,nan,34.84,12.98,1.69,0.66,0.05,,,0.05,0.98,0.67,285278000.0
91,AMX,Communication Services,43.0,C-暂缓,0.0,13.827645,17.01,3.77,2.83,否,无,28.46,3.77,2.83,6.53,6.57,5.66,62.1,8.78,22.87,4.61,41.07,2.04,2.81,0.74,0.53,1.71,-1.64,272399022000.0
92,YUMC,Consumer Cyclical,42.7,C-暂缓,7.0,17.500548,17.92,7.23,28.09,否,利润增长显著快于营收,58.39,7.23,28.09,1.23,14.07,1.65,17.28,7.87,17.27,8.48,21.72,0.44,,1.05,1.08,0.9,-5.45,1466000000.0
93,MRP,Real Estate,42.5,C-暂缓,0.0,10.643046,15.94,nan,nan,否,无,36.0,nan,nan,nan,,nan,85.39,63.26,6.49,5.16,22.81,0.36,5.36,1.96,0.08,9.67,0.0,3672821000.0
94,HAL,,42.1,C-暂缓,0.0,18.335079,,,,否,无,,,,9.28,,,nan,nan,nan,,,,,,,nan,,2926000000.0
95,WAL,Financial Services,42.0,C-暂缓,8.0,9.068159,17.68,11.81,-2.87,否,FCF/NI<70%,97.23,11.81,-2.87,nan,,,nan,27.89,12.66,1.12,6.98,0.85,,,0.04,-2.88,0.18,-2678900000.0
96,OTTR,,42.0,C-暂缓,0.0,19.93934,,,,否,无,,,,,-0.58,2.81,nan,nan,nan,nan,27.84,0.59,,2.28,,nan,0.22,
97,RF,,41.0,C-暂缓,0.0,12.453584,,,,否,无,,,,,3.77,,nan,nan,nan,nan,3.08,0.26,,,,nan,-2.47,
98,ALGN,Healthcare,40.8,C-暂缓,0.0,28.32283,20.53,2.61,4.31,否,无,200.44,2.61,4.31,1.42,8.62,-12.58,67.19,10.17,10.13,6.59,1.84,0.03,,1.36,0.65,1.2,-2.61,593223000.0
99,AUGO,Basic Materials,40.4,C-暂缓,14.0,23.809524,23.64,32.9,nan,否,FCF/NI<70%；股数膨胀>2%,110.32,32.9,nan,46.85,19.14,39.17,58.03,-8.61,-29.86,-5.9,27.05,1.64,2.72,0.97,0.69,-1.58,5.11,305184000.0
100,PRK,,40.4,C-暂缓,0.0,18.017159,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
101,IBN,,40.4,C-暂缓,0.0,17.99346,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
102,BXSL,Financial Services,40.3,C-暂缓,14.0,19.395961,18.73,16.28,11.68,否,FCF/NI<70%；股数膨胀>2%,30.2,16.28,11.68,nan,,,nan,92.69,9.02,4.01,55.13,1.29,,,0.04,-0.81,13.09,-458657000.0
103,LVS,,40.3,C-暂缓,0.0,18.066343,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
104,RWL,,40.3,C-暂缓,0.0,17.913953,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
105,DAR,,40.3,C-暂缓,0.0,18.067686,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
106,DK,,40.3,C-暂缓,0.0,17.900785,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
107,TPR,,40.3,C-暂缓,0.0,18.118294,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
108,IWS,,40.3,C-暂缓,0.0,17.934513,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
109,FUL,,40.3,C-暂缓,0.0,18.046826,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
110,FFIN,,40.3,C-暂缓,0.0,18.162055,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
111,SNX,,40.3,C-暂缓,0.0,18.043208,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
112,POOL,,40.3,C-暂缓,0.0,18.062169,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
113,LOPE,,40.2,C-暂缓,0.0,17.791302,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
114,MET,,40.2,C-暂缓,0.0,18.234139,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
115,DRH,,40.2,C-暂缓,0.0,17.718913,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
116,MUR,,40.2,C-暂缓,0.0,18.211814,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
117,WFRD,,40.2,C-暂缓,0.0,18.192847,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
118,FOXA,,40.2,C-暂缓,0.0,17.774486,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
