二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
24,NXT,Technology,72.6,B-保留观察,13.0,27.333333,35.66,23.23,70.17,利润增长显著快于营收；股数膨胀>2%,163.13,23.23,70.17,73.56,15.43,23.85,32.59,16.46,25.1,16.13,3.63,0.06,273.14,2.45,0.98,0.88,48.21,562911000.0
25,ADSK,Technology,72.4,A-优先三件套,0.0,29.724458,38.16,12.92,10.95,无,329.09,12.92,10.95,5.79,14.41,,90.98,15.6,36.91,9.65,21.93,0.9,25.27,0.85,0.62,2.11,-0.47,2452000000.0
26,SAP,Technology,72.2,A-优先三件套,7.0,20.768915,50.33,7.63,46.36,利润增长显著快于营收,299.48,7.63,46.36,17.48,0.05,,72.86,19.46,16.06,9.9,10.63,0.17,21.87,1.16,0.51,1.18,0.01,9156000000.0
27,OCTV,Technology,72.0,A-优先三件套,0.0,17.872582,47.63,8.28,9.87,无,30.0,8.28,9.87,10.82,-5.38,-46.75,73.0,19.27,4.1,3.66,0.72,0.01,,1.01,0.19,1.15,0.0,496866000.0
28,BKNG,Consumer Cyclical,71.0,B-保留观察,0.0,23.347982,23.27,16.35,20.9,无,231.8,16.35,20.9,12.81,19.67,,nan,20.08,-96.88,18.97,65.93,-3.46,5.23,1.33,0.94,1.68,-5.56,9409000000.0
29,BRO,Financial Services,70.6,B-保留观察,6.0,20.933435,37.28,17.38,16.19,股数膨胀>2%,104.25,17.38,16.19,18.07,12.26,,49.07,18.29,8.4,4.43,26.4,0.63,5.48,1.04,0.24,1.31,5.86,1450000000.0
30,CHKP,Technology,70.2,B-保留观察,0.0,13.116783,42.95,5.37,9.87,无,224.2,5.37,9.87,2.97,6.09,,86.72,38.78,36.67,15.59,25.26,0.68,473.55,2.05,0.4,1.11,-4.37,1199400000.0
31,SPGI,Financial Services,70.1,B-保留观察,0.0,27.13852,21.68,11.11,11.24,无,547.82,11.11,11.24,29.48,11.33,,70.25,29.15,14.36,7.36,22.19,0.44,22.7,0.82,0.25,1.22,-3.16,5651000000.0
32,MZTI,Consumer Defensive,69.8,B-保留观察,0.0,17.004005,43.11,4.43,23.16,无,190.96,4.43,23.16,36.95,-10.91,5.37,23.87,8.77,16.76,13.49,4.36,0.06,,2.38,1.54,1.22,0.02,261496000.0
33,INFY,Technology,69.3,B-保留观察,0.0,13.662517,63.57,3.44,3.58,无,30.0,3.44,3.58,12.29,6.29,,30.16,16.44,33.85,19.57,5.88,0.1,96.87,1.98,1.19,1.13,-0.73,4039000000.0
34,ITRI,Technology,68.6,B-保留观察,0.0,13.278246,41.4,9.65,nan,无,142.0,9.65,nan,154.94,11.1,2.03,37.69,12.72,17.54,8.45,34.08,0.74,16.25,1.8,0.66,1.27,-0.19,405952000.0
35,BR,Technology,68.3,B-保留观察,0.0,15.405753,47.0,6.46,15.91,无,271.91,6.46,15.91,38.23,4.39,,31.02,12.19,31.62,10.0,40.48,1.3,8.8,0.98,0.82,1.26,-0.03,1171300000.0
36,NICE,Technology,67.7,B-保留观察,7.0,10.426444,49.42,10.53,32.03,利润增长显著快于营收,175.0,10.53,32.03,14.31,12.48,,66.41,20.78,15.79,11.77,1.74,0.02,,1.55,0.57,1.02,-1.71,716549000.0
37,CRM,Technology,67.3,B-保留观察,7.0,18.92143,40.51,9.82,229.74,利润增长显著快于营收,274.0,9.82,229.74,28.24,10.06,,77.68,17.96,12.61,6.93,15.29,0.29,,0.76,0.39,1.93,-1.8,14996000000.0
38,AU,Basic Materials,66.8,B-保留观察,21.0,11.931769,37.15,30.02,124.49,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,129.14,30.02,124.49,38.42,82.72,11.65,49.24,26.65,32.58,18.62,15.13,0.28,20.89,2.87,0.7,1.27,6.45,4784000000.0
39,CME,Financial Services,66.7,B-保留观察,0.0,21.266212,24.28,9.11,14.81,无,329.16,9.11,14.81,11.86,9.77,,86.09,62.45,14.17,2.42,1.72,0.12,31.74,1.03,0.04,1.03,0.0,4277100000.0
40,CBOE,Financial Services,65.9,B-保留观察,7.0,24.064902,24.08,6.0,67.28,利润增长显著快于营收,371.18,6.0,67.28,39.11,1.91,,40.9,23.33,21.41,12.87,17.09,0.31,30.95,1.87,0.55,1.53,-0.41,1752600000.0
41,LVS,Consumer Cyclical,65.6,B-保留观察,6.0,16.71081,35.77,46.86,-3.88,ROE>40%,70.45,46.86,-3.88,nan,40.59,18.0,49.79,12.5,102.33,7.64,72.01,9.93,3.97,1.14,0.61,1.09,-4.05,3023000000.0
42,BVN,Basic Materials,65.3,B-保留观察,8.0,8.338506,28.16,28.05,9.08,FCF/NI<70%,44.67,28.05,9.08,nan,33.88,-5.03,45.18,45.17,19.26,14.13,0.15,0.0,17.57,2.01,0.31,0.13,0.0,238347000.0
43,NEM,Basic Materials,65.1,B-保留观察,14.0,12.445134,29.01,23.91,nan,应收增速>营收；股数膨胀>2%,134.88,23.91,nan,47.5,42.85,15.33,53.21,31.25,20.92,12.49,9.78,0.17,50.53,2.29,0.4,1.03,11.15,10334000000.0
44,META,Communication Services,65.0,B-保留观察,0.0,22.815401,21.23,19.89,37.61,无,796.25,19.89,37.61,,,,82.0,30.08,nan,,,,74.76,,,nan,,
45,AGI,Basic Materials,64.9,B-保留观察,21.0,12.164539,44.88,30.11,187.95,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,55.41,30.11,187.95,38.63,,-1.27,55.25,48.97,19.92,15.12,3.49,0.05,103.8,2.0,0.31,0.31,2.16,795300000.0
46,BKR,Energy,64.5,B-保留观察,0.0,18.070239,19.61,9.44,nan,无,70.41,9.44,nan,26.37,3.02,2.6,23.6,9.33,13.74,6.53,14.89,0.32,13.96,1.36,0.7,0.98,-0.64,3810000000.0
47,LECO,Industrials,64.3,B-保留观察,0.0,25.705368,19.62,4.02,3.3,无,310.0,4.02,3.3,19.92,-0.17,-1.63,36.25,12.3,35.42,14.27,34.18,0.88,14.1,1.82,1.16,1.03,-1.63,661173000.0
48,MCK,Healthcare,64.2,B-保留观察,0.0,21.210005,18.51,13.39,10.18,无,999.0,13.39,10.18,6.06,12.21,7.13,3.61,1.18,-219.24,6.05,10.46,-3.97,26.11,0.85,5.12,1.14,-4.09,6155000000.0
49,ANF,Consumer Cyclical,64.0,B-保留观察,7.0,9.174228,27.85,12.51,464.64,利润增长显著快于营收,133.11,12.51,464.64,nan,11.98,5.94,61.47,9.63,36.11,14.82,32.98,0.83,304.48,1.49,1.54,0.75,-3.21,619142000.0
50,ADP,Technology,63.6,B-保留观察,6.0,22.688472,23.06,7.61,11.43,ROE>40%,315.98,7.61,11.43,16.81,4.12,,46.03,19.84,65.93,7.57,16.99,1.47,12.65,1.05,0.38,1.08,-0.87,4939700000.0
51,MRSH,Financial Services,63.3,B-保留观察,0.0,21.542704,17.68,9.2,10.9,无,213.8,9.2,10.9,15.16,9.84,,42.27,15.42,27.55,7.22,36.53,1.42,6.77,1.1,0.47,1.2,-0.67,5292000000.0
52,VLTO,Industrials,63.1,B-保留观察,0.0,23.493939,17.22,4.16,3.62,无,110.11,4.16,3.62,7.37,3.21,-3.82,59.95,17.08,30.27,13.33,37.42,0.93,13.22,1.67,0.78,1.08,0.32,1077000000.0
53,BIRK,Consumer Cyclical,63.0,B-保留观察,8.0,19.355368,19.73,19.06,23.02,应收增速>营收,53.53,19.06,23.02,17.96,33.26,9.56,59.11,16.61,12.79,7.09,26.5,0.48,7.22,2.81,0.43,0.86,-0.7,384300000.0
54,BOOT,Consumer Cyclical,62.9,B-保留观察,8.0,20.32381,28.95,10.79,9.82,FCF/NI<70%,210.25,10.79,9.82,50.81,5.11,12.74,38.08,10.02,17.13,10.11,31.57,0.59,197.85,2.65,1.01,0.56,0.56,304903000.0
55,ZTS,Healthcare,62.9,B-保留观察,6.0,12.148541,53.77,5.42,8.13,ROE>40%,160.48,5.42,8.13,14.95,9.38,1.19,71.84,28.23,80.25,18.0,59.73,2.77,16.14,3.03,0.64,0.85,-2.88,2904000000.0
56,AOS,Industrials,62.7,B-保留观察,7.0,15.820389,27.51,0.67,32.33,利润增长显著快于营收,81.87,0.67,32.33,16.37,0.06,-2.45,38.83,14.26,29.4,17.11,6.11,0.1,53.97,1.5,1.2,1.0,-2.87,616800000.0
57,RELX,Industrials,62.7,B-保留观察,6.0,21.719488,39.39,3.89,8.12,ROE>40%,54.02,3.89,8.12,5.71,1.38,0.22,66.29,21.53,87.28,13.82,49.24,3.07,11.07,0.49,0.64,1.12,-1.6,2836000000.0
58,SFM,Consumer Defensive,62.4,B-保留观察,8.0,14.24193,55.45,11.2,26.1,应收增速>营收,165.97,11.2,26.1,24.47,59.39,11.21,38.8,5.95,37.32,13.43,46.73,1.39,390.36,0.93,2.26,0.89,-2.99,715998000.0
59,ACN,Technology,62.3,B-保留观察,0.0,11.204391,51.87,4.19,3.74,无,291.09,4.19,3.74,6.34,7.61,,31.91,11.02,24.61,12.66,12.51,0.26,45.94,1.42,1.15,1.42,-0.49,11474399000.0
60,DCI,Industrials,61.9,B-保留观察,0.0,24.51752,19.39,3.73,3.31,无,112.84,3.73,3.31,18.33,2.41,0.74,34.85,9.94,25.25,12.46,22.45,0.46,21.34,1.93,1.25,0.93,-1.8,418800000.0
61,HII,Industrials,61.5,B-保留观察,0.0,18.016894,39.72,5.35,1.47,无,460.0,5.35,1.47,16.01,-18.92,6.17,12.7,4.85,11.93,4.86,22.93,0.58,8.4,1.13,1.0,1.31,-0.55,1196000000.0
62,SSRM,Basic Materials,61.5,B-保留观察,8.0,26.011609,23.11,12.39,26.8,FCF/NI<70%,36.52,12.39,26.8,43.14,14.55,0.97,52.78,24.28,11.28,7.02,6.2,0.11,31.4,2.08,0.29,0.61,-0.59,471853000.0
63,BZ,Communication Services,61.2,B-保留观察,21.0,14.807763,39.03,22.38,194.36,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,25.26,22.38,194.36,65.57,49.78,nan,85.06,33.09,13.66,12.47,0.64,0.01,,4.66,0.38,1.62,2.46,4552371000.0
64,ZM,Technology,60.8,B-保留观察,7.0,12.591152,25.21,3.49,163.63,利润增长显著快于营收,114.74,3.49,163.63,15.52,-3.73,,77.02,39.03,19.37,16.56,0.49,0.01,,4.33,0.42,1.01,0.19,1989048000.0
65,WPM,Basic Materials,60.6,B-保留观察,16.0,28.143044,32.82,29.53,30.05,应收增速>营收；FCF/NI<70%,165.76,29.53,30.05,36.84,70.03,nan,72.22,63.58,16.93,17.78,0.09,0.0,3959.2,7.78,0.28,0.38,0.13,1904981000.0
66,NOC,Industrials,60.5,B-保留观察,0.0,16.675757,32.13,4.65,-5.12,无,774.0,4.65,-5.12,17.92,-3.1,10.2,19.81,9.97,25.08,8.3,33.13,1.02,8.62,1.1,0.83,0.79,-2.49,4757000000.0
67,LOGI,Technology,60.3,B-保留观察,7.0,21.754167,19.47,2.17,24.95,利润增长显著快于营收,129.66,2.17,24.95,24.77,-7.07,-10.48,43.2,14.69,32.16,19.25,2.29,0.04,,2.22,1.31,1.37,-3.43,1037207000.0
68,AXIA,Utilities,60.1,B-保留观察,0.0,16.007371,24.3,6.6,21.74,无,13.54,6.6,21.74,40.82,5.16,-0.53,87.8,15.89,5.54,2.3,27.63,0.65,0.16,1.68,0.14,1.83,-0.77,14509830000.0
69,BFAM,Consumer Cyclical,59.8,B-保留观察,7.0,21.622796,44.91,13.24,33.79,利润增长显著快于营收,130.76,13.24,33.79,23.0,10.62,,23.77,6.58,14.42,4.99,45.26,1.31,7.03,0.52,0.76,1.34,-1.12,350726000.0
70,RCL,Consumer Cyclical,59.3,B-保留观察,14.0,17.395734,22.01,26.59,nan,ROE>40%；FCF/NI<70%,366.5,26.59,nan,137.76,-15.8,5.63,49.35,23.8,42.52,10.85,52.94,2.2,5.41,0.18,0.46,0.29,1.94,6465000000.0
71,AZN,Healthcare,58.6,B-保留观察,7.0,25.561997,20.21,9.82,45.96,利润增长显著快于营收,212.71,9.82,45.96,14.11,12.38,11.75,81.9,17.41,21.01,9.38,25.55,0.6,8.68,0.94,0.54,0.85,0.02,14575000000.0
72,VICI,Real Estate,58.5,B-保留观察,6.0,9.119824,21.85,15.49,35.42,股数膨胀>2%,34.01,15.49,35.42,8.9,-38.52,,99.33,69.28,9.98,6.03,37.86,0.64,4.34,26.68,0.09,0.9,3.53,2509991000.0
73,CVSA,Consumer Defensive,58.4,B-保留观察,8.0,17.436651,28.27,8.97,-8.65,应收增速>营收,156.26,8.97,-8.65,217.06,21.44,,56.86,13.26,16.54,8.63,28.12,0.54,7.73,0.82,0.65,1.21,-7.33,337899000.0
74,YMM,Technology,58.3,B-保留观察,15.0,15.804435,35.39,22.87,121.3,利润增长显著快于营收；应收增速>营收,14.07,22.87,121.3,nan,79.39,,63.02,35.29,11.01,10.3,0.08,0.0,,8.09,0.29,1.02,-0.71,4626880000.0
75,CMG,Consumer Cyclical,58.0,B-保留观察,6.0,29.508744,31.75,11.36,19.54,ROE>40%,47.18,11.36,19.54,16.9,13.55,11.55,25.38,12.88,54.26,16.88,56.43,1.79,,1.23,1.31,0.94,-1.89,2113926000.0
76,ACM,Industrials,57.7,C-暂缓,0.0,17.616188,50.21,7.07,21.84,无,135.52,7.07,21.84,4.81,2.51,,7.54,3.48,22.54,4.63,26.47,1.3,5.97,1.14,1.33,1.22,-1.75,821602000.0
77,CCL,Consumer Cyclical,56.7,C-暂缓,0.0,11.974921,23.3,29.81,nan,无,34.03,29.81,nan,nan,19.73,5.67,40.1,10.37,22.47,5.48,54.16,2.28,3.05,0.32,0.53,0.94,1.41,6218000000.0
78,SKHY,Technology,55.9,C-暂缓,23.0,23.8864,15.16,29.61,168.01,利润增长显著快于营收；应收增速>营收；FCF/NI<70%,194.8,29.61,168.01,53.42,51.96,-3.02,60.41,44.18,35.61,29.0,14.06,0.21,55.63,1.86,0.66,0.58,0.68,53373126000000.0
79,RPM,Basic Materials,55.9,C-暂缓,0.0,20.693999,16.8,3.2,11.9,无,129.12,3.2,11.9,62.59,1.75,-5.1,41.38,9.34,23.87,9.59,38.12,1.03,9.21,2.16,1.03,0.78,-0.24,768190000.0
80,ASR,Industrials,55.8,C-暂缓,18.0,15.116269,28.31,13.73,1.65,经营现金流3Y为负；FCF/NI<70%,381.52,13.73,1.65,-2.97,0.27,12.94,46.57,28.17,26.55,12.13,39.89,0.9,10.74,3.03,0.43,0.43,0.0,12348613000.0
81,IT,Technology,55.8,C-暂缓,6.0,13.124843,63.24,5.87,-3.35,ROE>40%,359.36,5.87,-3.35,5.42,2.66,,68.39,11.22,227.95,8.78,41.41,10.47,8.73,1.0,0.78,1.61,-3.64,1290365000.0
82,TEL,Technology,55.7,C-暂缓,0.0,20.439409,20.7,1.97,-8.8,无,252.56,1.97,-8.8,18.81,5.9,0.29,35.22,10.67,14.64,7.69,23.2,0.46,42.61,1.56,0.72,1.74,-2.53,4139000000.0
83,COF,Financial Services,55.4,C-暂缓,6.0,11.74281,22.45,15.98,-30.67,股数膨胀>2%,259.64,15.98,-30.67,26.14,18.4,,nan,4.59,2.16,0.42,7.54,0.44,,,0.09,10.66,17.91,27718000000.0
84,XYL,Industrials,55.4,C-暂缓,13.0,28.888585,24.72,17.84,39.17,利润增长显著快于营收；股数膨胀>2%,154.27,17.84,39.17,27.7,17.08,7.15,38.46,10.59,8.34,5.61,11.7,0.18,41.72,1.62,0.53,0.95,10.57,1241000000.0
85,VMI,Industrials,54.9,C-暂缓,0.0,19.120161,16.77,-1.89,10.1,无,585.71,-1.89,10.1,11.85,-0.78,-8.06,30.21,8.16,20.5,9.99,27.47,0.57,10.31,2.35,1.23,0.93,-3.72,456484000.0
86,FISV,,54.8,C-暂缓,0.0,8.511864,65.17,6.11,11.21,无,144.18,6.11,11.21,9.49,3.55,,59.36,16.42,13.49,4.42,36.34,1.13,3.79,1.03,0.27,1.24,-5.36,6062000000.0
87,COKE,Consumer Defensive,54.5,C-暂缓,0.0,26.913083,16.07,5.24,9.87,无,219.65,5.24,9.87,18.89,3.66,-1.08,39.74,7.89,-77.13,11.87,67.56,-3.93,19.11,1.26,1.5,1.09,-10.78,931904000.0
88,CTSH,Technology,54.5,C-暂缓,0.0,9.383295,50.38,2.8,-0.88,无,87.03,2.8,-0.88,3.93,5.35,,33.72,10.56,14.85,10.97,5.57,0.08,95.03,2.14,1.04,1.16,-2.0,2883000000.0
89,LIF,Technology,54.5,C-暂缓,14.0,29.731429,53.77,28.95,nan,FCF/NI<70%；股数膨胀>2%,112.54,28.95,nan,nan,34.57,-3.04,77.81,30.81,27.51,21.53,32.34,0.57,,6.26,0.7,0.54,6.75,88630000.0
90,CRH,Basic Materials,54.4,C-暂缓,0.0,18.496391,23.94,4.6,-1.15,无,131.55,4.6,-1.15,13.97,3.14,7.78,36.13,9.96,15.54,6.85,33.78,0.82,6.93,1.74,0.69,0.78,-3.53,5625000000.0
91,PYPL,Financial Services,54.2,C-暂缓,7.0,10.399825,30.18,6.43,29.33,利润增长显著快于营收,79.5,6.43,29.33,3.34,1.6,,46.62,15.78,25.83,6.59,12.46,0.49,15.27,1.29,0.42,1.06,-6.79,6416000000.0
92,LDOS,Technology,54.1,C-暂缓,7.0,9.811222,47.87,6.06,28.34,利润增长显著快于营收,205.77,6.06,28.34,20.83,10.14,6.02,18.04,8.43,29.45,10.93,38.8,1.06,10.4,1.7,1.3,1.12,-2.65,1750000000.0
93,INGR,Consumer Defensive,53.9,C-暂缓,0.0,9.846638,23.98,-3.15,14.0,无,134.77,-3.15,14.0,83.81,-4.93,-8.41,25.32,10.1,16.8,9.5,24.96,0.45,27.32,2.66,0.94,0.7,-1.39,944000000.0
94,SGI,Consumer Cyclical,53.6,C-暂缓,6.0,28.519974,28.84,14.96,-5.54,股数膨胀>2%,98.56,14.96,-5.54,28.31,-5.34,4.32,42.58,5.14,12.36,4.37,57.54,2.15,2.8,0.83,0.85,1.65,7.2,800100000.0
95,CNM,Industrials,53.5,C-暂缓,6.0,18.545043,34.88,4.76,6.41,股数膨胀>2%,67.18,4.76,6.41,17.47,4.85,-1.98,26.93,5.77,22.08,7.38,40.05,1.22,6.06,2.63,1.28,1.37,3.0,650000000.0
96,WTW,Financial Services,53.5,C-暂缓,0.0,16.750592,18.79,3.07,16.73,无,352.79,3.07,16.73,29.78,7.78,,42.06,16.53,20.12,5.61,23.38,0.87,8.51,1.2,0.34,0.96,-3.79,1775000000.0
97,SSNC,Technology,53.5,C-暂缓,0.0,20.830161,26.41,5.89,7.02,无,91.07,5.89,7.02,15.44,5.69,,48.17,12.71,11.57,4.01,36.92,1.11,3.24,1.07,0.32,1.81,-1.29,1744800000.0
98,LII,Industrials,53.5,C-暂缓,6.0,23.623597,21.0,3.26,17.47,ROE>40%,674.4,3.26,17.47,35.83,-1.65,15.25,33.39,15.51,69.28,20.92,43.38,1.52,22.48,1.6,1.35,0.79,-0.64,757600000.0
99,CRUS,Technology,53.3,C-暂缓,15.0,17.769427,22.69,1.72,32.86,利润增长显著快于营收；应收增速>营收,180.42,1.72,32.86,24.2,13.52,1.05,52.78,20.75,19.47,17.21,5.38,0.06,554.16,7.37,0.83,1.53,-2.8,650598000.0
100,CHDN,Consumer Cyclical,53.2,C-暂缓,8.0,14.960672,30.66,17.37,-4.48,应收增速>营收,118.46,17.37,-4.48,12.77,40.27,-16.82,33.58,13.09,37.93,5.19,68.66,5.09,2.79,0.6,0.4,0.81,-2.37,769800000.0
101,REGN,Healthcare,52.7,C-暂缓,10.0,15.858906,20.7,5.62,1.26,经营现金流3Y为负,821.11,5.62,1.26,-0.24,2.52,10.04,85.35,31.41,14.41,11.5,6.67,0.09,120.42,4.13,0.37,0.84,-1.2,4978900000.0
102,A,Healthcare,52.6,C-暂缓,0.0,26.799197,16.73,0.48,1.29,无,160.27,0.48,1.29,5.92,1.91,-0.42,52.43,18.75,19.33,10.61,26.35,0.5,13.81,1.96,0.57,0.88,-1.37,1559000000.0
103,OBDC,Financial Services,52.3,C-暂缓,6.0,15.227776,27.84,9.83,10.39,股数膨胀>2%,14.98,9.83,10.39,100.13,,,nan,88.41,8.48,4.04,54.11,1.26,,,0.05,2.78,8.37,1741520000.0
104,ITGR,Healthcare,52.0,C-暂缓,0.0,24.329668,16.41,11.67,15.7,无,115.51,11.67,15.7,19.01,15.55,6.72,26.99,5.55,5.89,3.17,38.49,0.75,4.45,3.32,0.57,1.02,1.17,196148000.0
105,AG,Basic Materials,51.7,C-暂缓,14.0,29.490987,45.97,26.37,nan,应收增速>营收；股数膨胀>2%,32.04,26.37,nan,202.58,115.76,9.38,35.57,13.04,5.97,4.94,6.58,0.11,27.69,2.6,0.38,1.88,21.42,526010000.0
106,COR,Healthcare,51.7,C-暂缓,6.0,23.03295,20.38,10.43,-2.92,ROE>40%,377.54,10.43,-2.92,12.76,10.98,9.62,3.57,0.48,103.06,2.16,10.0,5.08,6.38,0.9,4.47,2.06,-2.02,3875120000.0
107,MBGL,Technology,51.6,C-暂缓,0.0,27.712809,21.62,8.56,-7.32,无,26.0,8.56,-7.32,11.09,3.64,,nan,8.0,1.22,1.07,1.91,0.02,2.92,1.07,0.13,3.29,0.0,485000000.0
