二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
11,SEZL,Financial Services,71.7,B-保留观察,12.0,27.294046,36.58,53.06,nan,否,ROE>40%；股数膨胀>2%,195.71,53.06,nan,191.07,11.97,,70.06,29.57,78.4,38.11,35.18,0.83,11.83,3.92,1.29,1.56,83.8,209907000.0
12,WSE,Technology,71.2,B-保留观察,7.0,26.925459,25.36,30.26,52.29,否,利润增长显著快于营收,17.47,30.26,52.29,15.88,22.08,,73.17,18.47,25.9,1.72,1.45,0.25,34.87,1.07,0.09,15.1,-1.21,7553900000.0
13,IESC,Industrials,70.7,B-保留观察,7.0,27.523211,24.12,15.88,106.47,否,利润增长显著快于营收,408.25,15.88,106.47,160.08,14.38,5.01,25.49,9.08,34.61,21.55,5.52,0.1,295.16,1.71,2.37,0.72,-0.81,286096000.0
14,INFY,Technology,70.1,B-保留观察,0.0,14.874101,59.83,3.44,3.58,否,无,30.0,3.44,3.58,12.29,6.29,,30.16,16.44,33.85,19.57,5.88,0.1,96.87,1.98,1.19,1.13,-0.73,4039000000.0
15,CHKP,Technology,69.3,B-保留观察,0.0,14.086383,34.34,5.37,9.87,否,无,210.66,5.37,9.87,2.97,6.09,,86.72,38.78,36.67,15.59,25.26,0.68,473.55,2.05,0.4,1.11,-4.37,1199400000.0
16,MKTX,Financial Services,69.3,B-保留观察,0.0,19.255456,16.97,5.62,-0.48,否,无,195.97,5.62,-0.48,9.73,8.78,,59.42,29.14,21.53,13.24,14.73,0.25,247.8,2.77,0.45,1.31,-1.69,382139000.0
17,NICE,Technology,68.4,B-保留观察,7.0,15.71178,29.18,10.53,32.03,否,利润增长显著快于营收,153.68,10.53,32.03,14.31,12.48,,66.41,20.78,15.79,11.77,1.74,0.02,,1.55,0.57,1.02,-1.71,716549000.0
18,ITRI,Technology,68.3,B-保留观察,0.0,16.262242,31.32,9.65,nan,否,无,142.0,9.65,nan,154.94,11.1,2.03,37.69,12.72,17.54,8.45,34.08,0.74,16.25,1.8,0.66,1.27,-0.19,405952000.0
19,DUOL,Technology,68.3,B-保留观察,14.0,17.525319,58.36,41.08,nan,否,应收增速>营收；股数膨胀>2%,353.0,41.08,nan,93.35,51.61,,72.23,39.91,30.74,25.14,4.71,0.07,,2.61,0.63,0.87,4.93,387823000.0
20,SNDK,Technology,67.7,B-保留观察,14.0,20.132592,36.93,49.29,nan,否,ROE>40%；应收增速>营收,2354.39,49.29,nan,nan,124.39,17.48,71.47,56.46,72.66,64.43,0.79,0.01,179.32,2.29,1.14,1.01,0.0,11671000000.0
21,TMDX,Healthcare,66.7,B-保留观察,12.0,22.013152,43.31,86.42,nan,否,ROE>40%；股数膨胀>2%,156.0,86.42,nan,nan,45.06,33.37,59.92,31.43,40.22,20.33,48.6,1.1,8.8,7.14,0.65,0.7,2.16,192840000.0
22,BIRK,Consumer Cyclical,66.4,B-保留观察,8.0,17.041964,31.43,19.06,23.02,否,应收增速>营收,51.99,19.06,23.02,17.96,33.26,9.56,59.11,16.61,12.79,7.09,26.5,0.48,7.22,2.81,0.43,0.86,-0.7,384300000.0
23,TRI,Industrials,65.8,B-保留观察,0.0,28.086991,40.99,4.1,3.93,否,无,180.0,4.1,3.93,11.45,2.23,-7.44,75.8,20.09,12.61,8.26,13.22,0.2,11.57,0.64,0.41,1.34,-1.02,2651000000.0
24,BRO,Financial Services,65.7,B-保留观察,6.0,23.078737,24.54,17.38,16.19,否,股数膨胀>2%,97.15,17.38,16.19,18.07,12.26,,49.07,18.29,8.4,4.43,26.4,0.63,5.48,1.04,0.24,1.31,5.86,1450000000.0
25,MORN,Financial Services,65.2,B-保留观察,7.0,20.708849,16.85,9.34,74.44,否,利润增长显著快于营收,261.76,9.34,74.44,25.57,8.23,,61.03,15.3,30.62,10.48,35.13,1.03,13.47,0.99,0.69,1.18,-2.2,589700000.0
26,YOU,Technology,64.6,B-保留观察,12.0,29.566423,37.12,27.22,nan,否,ROE>40%；股数膨胀>2%,69.07,27.22,nan,30.31,18.09,,64.42,12.12,61.42,8.74,8.62,0.63,534.32,1.01,0.72,3.14,3.51,372452000.0
27,MZTI,Consumer Defensive,64.4,B-保留观察,0.0,16.452722,38.57,1.93,19.86,否,无,186.95,1.93,19.86,7.9,-2.83,9.02,24.73,9.93,18.19,13.31,15.81,0.24,138.25,1.56,1.34,1.08,-0.29,283816000.0
28,LOGI,Technology,64.2,B-保留观察,7.0,17.986077,24.45,2.17,24.95,否,利润增长显著快于营收,129.66,2.17,24.95,24.77,-7.07,-10.48,43.2,14.69,32.16,19.25,2.29,0.04,,2.22,1.31,1.37,-3.43,1037207000.0
29,AGI,Basic Materials,63.9,B-保留观察,21.0,13.172043,33.68,30.11,187.95,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,55.41,30.11,187.95,38.63,,-1.27,55.25,48.97,19.92,15.12,3.49,0.05,103.8,2.0,0.31,0.31,2.16,795300000.0
30,APP,Communication Services,63.9,B-保留观察,14.0,24.42781,57.38,24.84,nan,否,ROE>40%；应收增速>营收,745.61,24.84,nan,112.68,37.31,,87.86,60.83,156.17,50.79,48.83,1.66,20.09,3.32,0.83,1.18,-3.28,3971094000.0
31,BVN,Basic Materials,63.5,B-保留观察,8.0,8.377603,21.38,28.05,9.08,否,FCF/NI<70%,44.67,28.05,9.08,nan,33.88,-5.03,45.18,45.17,19.26,14.13,0.15,0.0,17.57,2.01,0.31,0.13,0.0,238347000.0
32,SFM,Consumer Defensive,63.4,B-保留观察,8.0,15.690393,42.33,11.2,26.1,否,应收增速>营收,141.24,11.2,26.1,24.47,59.39,11.21,38.8,5.95,37.32,13.43,46.73,1.39,390.36,0.93,2.26,0.89,-2.99,715998000.0
33,ZTS,Healthcare,63.3,B-保留观察,6.0,12.664351,50.23,5.42,8.13,否,ROE>40%,155.38,5.42,8.13,14.95,9.38,1.19,71.84,28.23,80.25,18.0,59.73,2.77,16.14,3.03,0.64,0.85,-2.88,2904000000.0
34,DAVE,Technology,63.3,B-保留观察,12.0,24.263794,17.39,39.34,nan,否,ROE>40%；股数膨胀>2%,458.25,39.34,nan,nan,41.84,,86.69,35.34,55.53,49.79,15.43,0.21,24.86,3.83,1.41,1.45,4.72,290023000.0
35,AOS,Industrials,63.1,B-保留观察,7.0,16.824818,26.25,0.67,32.33,否,利润增长显著快于营收,81.87,0.67,32.33,16.37,0.06,-2.45,38.83,14.26,29.4,17.11,6.11,0.1,53.97,1.5,1.2,1.0,-2.87,616800000.0
36,NYT,Communication Services,63.1,B-保留观察,0.0,28.394333,21.75,6.96,25.53,否,无,87.1,6.96,25.53,57.12,10.16,,50.81,12.18,16.85,11.78,1.22,0.02,387.68,1.54,0.97,1.6,-0.66,584489000.0
37,SAP,Technology,61.5,B-保留观察,7.0,29.037963,21.26,7.63,46.36,否,利润增长显著快于营收,281.37,7.63,46.36,17.48,0.05,,72.86,19.46,16.06,9.9,10.63,0.17,21.87,1.16,0.51,1.18,0.01,9156000000.0
38,NOC,Industrials,60.2,B-保留观察,0.0,17.319891,29.51,4.65,-5.12,否,无,774.0,4.65,-5.12,17.92,-3.1,10.2,19.81,9.97,25.08,8.3,33.13,1.02,8.62,1.1,0.83,0.79,-2.49,4757000000.0
39,HII,Industrials,60.2,B-保留观察,0.0,17.521168,36.04,5.35,1.47,否,无,460.0,5.35,1.47,16.01,-18.92,6.17,12.7,4.85,11.93,4.86,22.93,0.58,8.4,1.13,1.0,1.31,-0.55,1196000000.0
40,YETI,Consumer Cyclical,59.8,B-保留观察,8.0,18.124796,23.0,5.41,22.63,否,应收增速>营收,53.99,5.41,22.63,36.17,21.19,-7.85,57.41,8.85,25.43,13.12,18.49,0.35,498.25,1.98,1.48,0.92,-4.62,254737000.0
41,VICI,Real Estate,59.6,B-保留观察,6.0,10.027132,23.53,15.49,35.42,否,股数膨胀>2%,33.83,15.49,35.42,8.9,-38.52,,99.33,69.28,9.98,6.03,37.86,0.64,4.34,26.68,0.09,0.9,3.53,2509991000.0
42,RCL,Consumer Cyclical,59.5,B-保留观察,14.0,17.220906,22.98,26.59,nan,否,ROE>40%；FCF/NI<70%,362.79,26.59,nan,137.76,-15.8,5.63,49.35,23.8,42.52,10.85,52.94,2.2,5.41,0.18,0.46,0.29,1.94,6465000000.0
43,MO,,58.9,B-保留观察,0.0,14.464675,,-0.89,6.42,否,无,,-0.89,6.42,4.01,-46.54,-3.21,72.21,34.5,-198.37,19.79,73.42,-7.34,8.98,0.65,0.57,1.31,-2.12,9290000000.0
44,CMI,Industrials,58.6,B-保留观察,0.0,28.871283,23.44,6.25,9.74,否,无,737.76,6.25,9.74,22.66,3.8,1.29,25.29,8.44,23.02,8.68,23.87,0.66,13.05,1.76,1.03,0.84,-0.75,3621000000.0
45,RELX,Industrials,58.4,B-保留观察,6.0,22.071042,24.5,3.89,8.12,否,ROE>40%,48.4,3.89,8.12,5.71,1.38,0.22,66.29,21.53,87.28,13.82,49.24,3.07,11.07,0.49,0.64,1.12,-1.6,2836000000.0
46,YMM,Technology,58.2,B-保留观察,15.0,14.919762,37.38,22.87,121.3,否,利润增长显著快于营收；应收增速>营收,14.07,22.87,121.3,nan,79.39,,63.02,35.29,11.01,10.3,0.08,0.0,,8.09,0.29,1.02,-0.71,4626880000.0
47,XYL,Industrials,57.9,C-暂缓,13.0,26.484006,27.85,17.84,39.17,否,利润增长显著快于营收；股数膨胀>2%,154.27,17.84,39.17,27.7,17.08,7.15,38.46,10.59,8.34,5.61,11.7,0.18,41.72,1.62,0.53,0.95,10.57,1241000000.0
48,TJX,Consumer Cyclical,57.9,C-暂缓,6.0,25.022222,20.52,6.53,16.24,否,ROE>40%,170.0,6.53,16.24,18.95,2.26,7.84,30.96,9.1,53.92,16.27,37.71,1.32,99.64,1.14,1.79,0.9,-1.41,6874000000.0
49,LIF,Technology,57.6,C-暂缓,14.0,25.284884,61.36,28.95,nan,否,FCF/NI<70%；股数膨胀>2%,112.54,28.95,nan,nan,34.57,-3.04,77.81,30.81,27.51,21.53,32.34,0.57,,6.26,0.7,0.54,6.75,88630000.0
50,CCL,Consumer Cyclical,57.4,C-暂缓,0.0,11.360117,27.24,29.81,nan,否,无,34.03,29.81,nan,nan,19.73,5.67,40.1,10.37,22.47,5.48,54.16,2.28,3.05,0.32,0.53,0.94,1.41,6218000000.0
51,SGI,Consumer Cyclical,57.2,C-暂缓,6.0,25.641649,34.69,14.96,-5.54,否,股数膨胀>2%,98.56,14.96,-5.54,28.31,-5.34,4.32,42.58,5.14,12.36,4.37,57.54,2.15,2.8,0.83,0.85,1.65,7.2,800100000.0
52,DOV,Industrials,57.0,C-暂缓,0.0,23.903867,16.36,1.04,0.89,否,无,237.54,1.04,0.89,18.29,-3.31,-2.34,39.77,13.52,14.77,8.44,26.63,0.48,13.52,1.79,0.62,1.02,-1.17,1333575000.0
53,BZ,Communication Services,56.9,C-暂缓,21.0,12.414658,29.53,22.38,194.36,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,25.26,22.38,194.36,65.57,49.78,nan,85.06,33.09,13.66,12.47,0.64,0.01,,4.66,0.38,1.62,2.46,4552371000.0
54,ZTO,Industrials,56.6,C-暂缓,8.0,11.3732,17.94,11.54,10.07,否,FCF/NI<70%,26.2,11.54,10.07,1.4,3.49,0.09,24.99,18.49,13.68,9.9,12.61,0.17,45.46,1.49,0.54,0.65,-1.01,11968419000.0
55,TFPM,Basic Materials,56.6,C-暂缓,21.0,17.0,18.47,36.78,63.33,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,41.7,36.78,63.33,38.26,42.09,nan,67.64,61.74,11.73,12.36,0.07,0.0,64.87,3.92,0.2,0.39,9.88,312832000.0
56,GSK,Healthcare,56.6,C-暂缓,0.0,16.251333,17.63,3.66,-27.43,否,无,61.7,3.66,-27.43,1.5,2.74,4.8,72.4,17.5,34.9,9.48,28.99,1.08,11.77,0.82,0.54,0.83,-0.67,7741000000.0
57,NHI,Real Estate,56.4,C-暂缓,6.0,20.791353,21.18,10.53,28.89,否,股数膨胀>2%,91.38,10.53,28.89,8.47,1.45,,97.08,37.85,9.34,5.25,41.61,0.76,3.61,1.07,0.14,1.66,3.64,236563000.0
58,FISV,,56.0,C-暂缓,0.0,10.194688,61.64,6.11,11.21,否,无,138.62,6.11,11.21,9.49,3.55,,59.36,16.42,13.49,4.42,36.34,1.13,3.79,1.03,0.27,1.24,-5.36,6062000000.0
59,LHX,Industrials,55.9,C-暂缓,0.0,26.555796,30.7,8.62,14.78,否,无,379.23,8.62,14.78,12.91,3.1,-1.89,25.73,7.35,8.18,3.86,26.98,0.57,4.24,1.19,0.53,1.67,-0.66,3106000000.0
60,ASR,Industrials,55.8,C-暂缓,18.0,13.583534,32.5,13.73,1.65,否,经营现金流3Y为负；FCF/NI<70%,381.52,13.73,1.65,-2.97,0.27,12.94,46.57,28.17,26.55,12.13,39.89,0.9,10.74,3.03,0.43,0.43,0.0,12348613000.0
61,VMI,Industrials,55.8,C-暂缓,0.0,18.543042,18.68,-1.89,10.1,否,无,585.71,-1.89,10.1,11.85,-0.78,-8.06,30.21,8.16,20.5,9.99,27.47,0.57,10.31,2.35,1.23,0.93,-3.72,456484000.0
62,TEL,Technology,55.8,C-暂缓,0.0,19.846289,19.76,1.97,-8.8,否,无,252.56,1.97,-8.8,18.81,5.9,0.29,35.22,10.67,14.64,7.69,23.2,0.46,42.61,1.56,0.72,1.74,-2.53,4139000000.0
63,DPZ,Consumer Cyclical,55.6,C-暂缓,0.0,19.822234,25.37,2.88,9.98,否,无,469.0,2.88,9.98,18.56,7.06,-0.98,39.95,12.18,-15.42,34.85,294.11,-1.29,4.93,1.65,2.86,1.12,-1.72,792062000.0
64,LII,Industrials,55.4,C-暂缓,6.0,17.44301,33.01,3.26,17.47,否,ROE>40%,587.27,3.26,17.47,,-1.65,15.25,33.39,15.51,69.28,20.92,43.38,1.52,22.48,1.6,1.35,0.79,-0.64,
65,IT,Technology,55.2,C-暂缓,6.0,18.143917,25.38,5.87,-3.35,否,ROE>40%,265.85,5.87,-3.35,5.42,2.66,,68.39,11.22,227.95,8.78,41.41,10.47,8.73,1.0,0.78,1.61,-3.64,1290365000.0
66,DORM,Consumer Cyclical,55.2,C-暂缓,8.0,17.973755,22.49,7.11,18.88,否,FCF/NI<70%,166.89,7.11,18.88,39.69,3.89,8.26,42.14,9.59,13.82,8.3,21.52,0.36,10.64,3.09,0.87,0.37,-1.11,113634000.0
67,PPG,,55.0,C-暂缓,0.0,16.288405,,0.55,15.38,否,无,,0.55,15.38,26.32,-0.49,-4.23,41.32,9.93,19.85,7.59,35.73,0.99,9.49,1.62,0.76,0.74,-1.68,1941000000.0
68,CRH,Basic Materials,54.8,C-暂缓,0.0,16.896096,27.13,4.6,-1.15,否,无,131.55,4.6,-1.15,13.97,3.14,7.78,36.13,9.96,15.54,6.85,33.78,0.82,6.93,1.74,0.69,0.78,-3.53,5625000000.0
69,PYPL,Financial Services,54.6,C-暂缓,7.0,10.115342,32.26,6.43,29.33,否,利润增长显著快于营收,79.22,6.43,29.33,3.34,1.6,,46.62,15.78,25.83,6.59,12.46,0.49,15.27,1.29,0.42,1.06,-6.79,6416000000.0
70,COF,Financial Services,54.4,C-暂缓,6.0,12.577333,16.93,15.98,-30.67,否,股数膨胀>2%,259.64,15.98,-30.67,26.14,18.4,,nan,4.59,2.16,0.42,7.54,0.44,,,0.09,10.66,17.91,27718000000.0
71,VVX,Industrials,54.4,C-暂缓,0.0,26.77671,17.33,15.72,nan,否,无,93.98,15.72,nan,24.86,-27.41,0.65,8.33,1.74,7.18,2.39,33.47,1.01,2.23,1.22,1.38,2.18,0.76,181992000.0
72,INDV,Healthcare,54.4,C-暂缓,8.0,12.606347,18.55,11.2,nan,否,FCF/NI<70%,42.81,11.2,nan,nan,4.77,10.78,80.15,16.95,-212.12,16.69,29.23,-3.55,6.31,0.71,0.98,-0.45,-2.88,-27000000.0
73,LDOS,Technology,54.1,C-暂缓,7.0,13.133951,31.64,6.06,28.34,否,利润增长显著快于营收,205.77,6.06,28.34,20.83,10.14,6.02,18.04,8.43,29.45,10.93,38.8,1.06,10.4,1.7,1.3,1.12,-2.65,1750000000.0
74,CNM,Industrials,54.0,C-暂缓,6.0,18.235606,35.96,4.76,6.41,否,股数膨胀>2%,67.18,4.76,6.41,17.47,4.85,-1.98,26.93,5.77,22.08,7.38,40.05,1.22,6.06,2.63,1.28,1.37,3.0,650000000.0
75,DTM,Energy,54.0,C-暂缓,0.0,28.404736,15.27,10.55,6.03,否,无,152.88,10.55,6.03,6.14,4.93,,79.24,35.48,9.31,4.41,33.45,0.71,4.71,1.07,0.12,1.0,1.67,867000000.0
76,CTSH,Technology,53.9,C-暂缓,0.0,13.79458,26.42,2.8,-0.88,否,无,87.03,2.8,-0.88,3.93,5.35,,33.72,10.56,14.85,10.97,5.57,0.08,95.03,2.14,1.04,1.16,-2.0,2883000000.0
77,RPM,Basic Materials,53.9,C-暂缓,0.0,20.64858,17.01,2.71,11.38,否,无,128.51,2.71,11.38,15.91,3.4,-2.3,41.44,8.41,19.97,8.21,34.45,0.87,8.8,1.68,0.98,1.02,-0.29,898708000.0
78,INGR,Consumer Defensive,53.8,C-暂缓,0.0,11.367689,19.8,-3.15,14.0,否,无,130.45,-3.15,14.0,83.81,-4.93,-8.41,25.32,10.1,16.8,9.5,24.96,0.45,27.32,2.66,0.94,0.7,-1.39,944000000.0
79,WYNN,Consumer Cyclical,53.5,C-暂缓,0.0,22.835752,29.29,23.86,nan,否,无,134.72,23.86,nan,nan,23.06,8.07,41.43,4.59,-118.82,2.51,92.89,-44.2,1.82,1.63,0.55,2.11,-2.84,1352653000.0
80,SARO,Industrials,53.2,C-暂缓,0.0,25.789487,27.47,13.46,nan,否,无,34.48,13.46,nan,126.48,7.28,11.01,14.8,4.58,10.4,4.34,37.35,0.92,3.16,2.2,0.95,0.73,-0.02,316705000.0
81,AROC,Energy,52.2,C-暂缓,21.0,16.790463,26.02,20.78,93.77,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,42.23,20.78,93.77,45.15,1.15,9.05,48.57,21.63,21.61,7.89,55.67,1.62,3.56,1.54,0.36,0.37,3.96,622107000.0
82,TIMB,Communication Services,52.2,C-暂缓,7.0,10.184651,37.46,7.34,37.17,否,利润增长显著快于营收,28.22,7.34,37.17,13.62,12.74,14.8,53.93,16.2,17.98,7.61,29.05,0.69,2.99,0.89,0.47,2.06,-0.44,13440069000.0
83,CHDN,Consumer Cyclical,51.6,C-暂缓,8.0,15.263158,24.04,17.37,-4.48,否,应收增速>营收,118.35,17.37,-4.48,12.77,40.27,-16.82,33.58,13.09,37.93,5.19,68.66,5.09,2.79,0.6,0.4,0.81,-2.37,769800000.0
84,OBDC,Financial Services,51.4,C-暂缓,6.0,19.699727,21.75,9.83,10.39,否,股数膨胀>2%,14.44,9.83,10.39,100.13,,,nan,88.41,8.48,4.04,54.11,1.26,,,0.05,2.78,8.37,1741520000.0
85,DY,Industrials,51.4,C-暂缓,8.0,26.777725,48.04,13.35,25.51,否,应收增速>营收,566.47,13.35,25.51,57.39,26.97,3.74,20.56,5.07,15.12,6.3,50.04,1.61,6.53,2.74,1.24,1.43,0.7,642503000.0
86,MBGL,Technology,50.8,C-暂缓,0.0,29.10823,22.15,8.56,-7.32,否,无,26.0,8.56,-7.32,11.09,3.64,,nan,8.0,1.22,1.07,1.91,0.02,2.92,1.07,0.13,3.29,0.0,485000000.0
87,XP,Financial Services,50.6,C-暂缓,8.0,9.025912,23.65,10.28,13.04,否,应收增速>营收,23.13,10.28,13.04,88.31,29.34,,26.0,64.89,21.96,1.39,26.28,4.43,9.71,0.71,0.02,2.24,-1.41,12044826000.0
88,SUNB,Industrials,50.3,C-暂缓,0.0,23.238095,15.55,4.88,-6.44,否,无,86.68,4.88,-6.44,55.82,6.42,-0.24,38.46,11.88,17.88,5.99,46.91,1.41,5.65,0.9,0.5,1.2,-2.12,3784000000.0
89,AG,Basic Materials,50.1,C-暂缓,14.0,29.895495,35.21,26.37,nan,否,应收增速>营收；股数膨胀>2%,32.04,26.37,nan,202.58,115.76,9.38,35.57,13.04,5.97,4.94,6.58,0.11,27.69,2.6,0.38,1.88,21.42,526010000.0
90,DHI,Consumer Cyclical,50.0,C-暂缓,0.0,14.022038,20.14,0.76,-15.09,否,无,184.55,0.76,-15.09,82.61,,5.3,23.7,10.47,14.82,10.02,17.0,0.25,,17.39,0.96,0.92,-5.05,3420900000.0
91,TREX,Industrials,50.0,C-暂缓,8.0,27.161964,30.71,2.02,1.03,否,FCF/NI<70%,66.06,2.02,1.03,18.32,-21.14,19.08,39.17,16.22,18.41,13.47,12.89,0.18,,1.24,0.83,0.65,-0.93,358113000.0
92,DAL,Industrials,49.8,C-暂缓,7.0,13.284699,16.31,7.8,56.01,否,利润增长显著快于营收,95.68,7.8,56.01,9.45,-3.55,3.98,24.17,7.9,24.0,6.39,24.93,0.97,10.11,0.4,0.81,0.77,0.62,8342000000.0
93,CBZ,Industrials,49.3,C-暂缓,6.0,26.206731,15.16,25.0,3.1,否,股数膨胀>2%,64.25,25.0,3.1,15.13,20.61,,12.89,4.19,6.55,2.6,41.47,1.04,2.5,1.22,0.62,1.52,2.72,192485000.0
94,WING,Consumer Cyclical,49.2,C-暂缓,23.0,26.967092,65.63,24.91,48.75,否,利润增长显著快于营收；应收增速>营收；FCF/NI<70%,330.42,24.91,48.75,26.15,33.89,5.14,48.68,25.01,-23.65,24.72,183.21,-1.72,7.63,3.26,0.99,0.61,-2.74,153065000.0
95,TPR,Consumer Cyclical,48.8,C-暂缓,0.0,17.261348,23.85,1.6,-40.19,否,无,164.8,1.6,-40.19,12.56,-1.75,-4.69,75.44,2.61,21.36,1.83,59.25,4.55,3.53,1.87,0.7,5.97,-4.8,1216600000.0
96,GTES,,48.8,C-暂缓,0.0,18.3946,,-1.05,4.42,否,无,,-1.05,4.42,21.62,-2.73,2.18,39.84,7.3,7.54,3.61,32.96,0.71,3.88,3.37,0.49,1.45,-3.55,478100000.0
97,BAH,Industrials,48.5,C-暂缓,13.0,11.831128,31.94,6.6,46.44,否,利润增长显著快于营收；ROE>40%,110.55,6.6,46.44,19.96,0.2,,52.71,7.59,77.01,11.79,57.91,3.73,5.14,1.78,1.55,1.12,-2.95,1041000000.0
98,BDC,Technology,48.4,C-暂缓,0.0,18.695641,27.99,1.37,-2.3,否,无,159.99,1.37,-2.3,8.05,1.69,5.61,37.98,8.75,18.78,6.91,39.57,1.11,6.76,1.93,0.79,0.92,-3.12,354864000.0
99,CSL,Industrials,48.2,C-暂缓,6.0,20.497706,17.64,-2.7,-7.11,否,ROE>40%,432.91,-2.7,-7.11,3.25,-1.18,-4.77,35.71,14.76,41.26,12.26,46.01,1.6,13.09,3.09,0.83,1.31,-6.96,1101800000.0
100,MKL,Financial Services,48.2,C-暂缓,0.0,10.037474,17.62,11.4,nan,否,无,2207.59,11.4,nan,0.63,17.66,,nan,12.9,11.33,3.22,6.25,0.23,14.27,,0.25,1.21,-2.11,2761256000.0
101,WMS,Industrials,47.6,C-暂缓,0.0,23.737131,23.6,-0.23,-5.61,否,无,179.31,-0.23,-5.61,4.99,5.13,5.41,38.27,13.98,22.07,10.41,39.8,0.93,6.96,2.42,0.74,1.33,-0.75,819054000.0
102,MGY,Energy,46.8,C-暂缓,10.0,11.468752,19.87,-8.18,-28.61,否,经营现金流3Y为负,32.76,-8.18,-28.61,-12.17,-11.96,,47.29,24.79,16.77,11.36,14.17,0.21,20.31,1.54,0.46,1.26,-1.91,878639000.0
103,NTNX,Technology,46.8,C-暂缓,14.0,13.377176,16.09,17.09,nan,否,应收增速>营收；股数膨胀>2%,82.42,17.09,nan,129.97,39.48,,86.81,7.42,-27.12,6.94,45.16,-2.13,26.26,1.83,0.94,3.98,5.84,821456000.0
104,TMUS,Communication Services,46.8,C-暂缓,7.0,19.012818,29.88,3.53,61.9,否,利润增长显著快于营收,258.66,3.53,61.9,18.54,3.12,8.48,62.89,12.45,18.57,5.15,55.77,2.07,4.78,1.0,0.41,1.4,-3.56,27950000000.0
