代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
00325,0325.HK,Consumer Cyclical,77.15,190.56,22.699575,36.76,122.0,107.61,nan,,,,22.09,0.82,896927000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00780,0780.HK,Consumer Cyclical,13.35,314.26,10.892674,47.48,25.42,43.35,nan,,,,10.51,12.89,4310911000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00788,0788.HK,Communication Services,9.2,429.31,10.321704,28.4,12.85,2.9,9.79,,,,5.7,26.88,56116000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00836,0836.HK,Utilities,17.9,926.68,6.383738,19.22,22.16,-0.42,25.6,,,,12.1,53.31,44650887000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00867,0867.HK,Healthcare,11.86,288.55,16.049358,24.12,15.63,-3.54,-22.98,,,,8.56,3.59,758421000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00902,0902.HK,Utilities,5.405,254.06,6.234141,29.16,7.63,-2.41,nan,,,,10.11,50.49,67212899994.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01099,1099.HK,Healthcare,16.58,222.47,6.26765,25.78,22.34,1.37,-5.67,,,,8.52,18.18,14138206000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01199,1199.HK,Industrials,5.18,208.08,8.175276,21.04,6.56,5.01,0.6,,,,4.87,32.47,611634000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01208,1208.HK,Basic Materials,9.01,1157.42,13.333917,24.67,11.96,24.09,43.5,,,,12.86,24.96,2689500000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01209,1209.HK,Real Estate,40.66,928.06,20.05225,20.51,51.15,14.47,21.62,,,,25.67,7.62,4081187000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01318,1318.HK,Consumer Defensive,50.55,247.79,17.639693,54.87,112.0,40.29,50.66,,,,25.8,1.38,1199426000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01364,1364.HK,Consumer Cyclical,24.84,590.7,14.721478,20.59,31.28,32.44,103.93,,,,53.39,39.16,2408612000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02050,2050.HK,Industrials,26.54,126.6,23.393383,42.9,46.48,13.26,16.44,,,,12.8,8.2,5090762717.98,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02097,2097.HK,Consumer Defensive,233.4,352.43,12.787116,53.28,499.6,35.21,43.39,,,,24.08,0.61,6039033000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02259,2259.HK,Basic Materials,148.3,3968.51,19.991912,44.66,268.0,43.6,105.82,,,,19.12,5.2,2402470000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02714,2714.HK,Consumer Defensive,35.5,110.05,17.822877,29.98,50.7,4.91,5.29,,,,19.93,40.9,30056186914.47,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02788,2788.HK,Basic Materials,15.78,327.44,6.822309,53.53,33.96,11.46,45.79,,,,28.38,44.41,4925305000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02921,2921.HK,,42.22,494.44,17.466035,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02997,2997.HK,,52.7,280.89,15.216776,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
