代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
00325,0325.HK,Consumer Cyclical,46.54,114.95,15.701804,65.4,134.5,107.61,nan,,,,22.09,0.82,896927000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00780,0780.HK,Consumer Cyclical,13.17,310.02,10.82265,48.19,25.42,43.35,nan,,,,10.51,12.89,4310911000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00788,0788.HK,Communication Services,9.6,447.97,11.726322,25.29,12.85,2.9,9.79,,,,5.7,26.88,56116000000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00867,0867.HK,Healthcare,12.09,294.15,17.655151,22.65,15.63,-3.54,-22.98,,,,8.56,3.59,758421000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01099,1099.HK,Healthcare,16.84,225.96,6.411459,24.62,22.34,1.37,-5.67,,,,8.52,18.18,14138206000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01199,1199.HK,Industrials,5.13,206.07,8.097824,21.8,6.56,5.01,0.6,,,,4.87,32.47,611634000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01318,1318.HK,Consumer Defensive,56.4,276.47,20.623367,49.64,112.0,40.29,50.66,,,,25.8,1.38,1199426000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01364,1364.HK,Consumer Cyclical,21.54,512.22,12.857014,31.14,31.28,32.44,103.93,,,,53.39,39.16,2408612000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02097,2097.HK,Consumer Defensive,209.6,316.5,12.03299,58.29,502.5,35.21,43.39,,,,24.08,0.61,6039033000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02259,2259.HK,Basic Materials,115.0,3077.4,19.554498,57.09,268.0,43.6,105.82,,,,19.12,5.2,2402470000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02714,2714.HK,Consumer Defensive,32.44,100.56,16.403062,36.02,50.7,4.91,5.29,,,,19.93,40.9,30056186914.47,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02788,2788.HK,Basic Materials,16.18,335.74,9.579649,52.36,33.96,11.46,45.79,,,,28.38,44.41,4925305000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02921,2921.HK,,42.22,494.44,17.466035,,,,,,,,nan,,,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02997,2997.HK,,52.7,280.89,15.325593,,,,,,,,nan,,,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03355,3355.HK,Technology,34.6,140.36,20.412979,39.3,57.0,14.26,18.17,,,,27.85,16.08,816725000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06031,6031.HK,Industrials,20.28,146.22,19.556413,25.33,27.16,3.53,25.14,,,,9.52,14.27,19975261000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06656,6656.HK,Industrials,284.2,403.56,21.883422,57.52,669.0,1142.49,nan,,,,77.05,20.65,-199990000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06936,6936.HK,Industrials,32.76,150.7,13.349633,30.5,47.14,4.84,21.66,,,,11.19,21.2,27555275000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
07618,7618.HK,Consumer Cyclical,13.34,361.91,14.131356,22.31,17.17,,,,,,nan,,,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09973,9973.HK,Consumer Cyclical,23.86,561.9,6.456824,31.79,34.98,48.01,44.79,,,,37.47,7.73,20130000000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02899,2899.HK,Basic Materials,32.38,1939.24,12.589772,31.08,46.98,8.9,37.21,,,,27.91,32.13,75429516296.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02588,2588.HK,Industrials,77.5,537.85,8.811545,15.72,91.95,4.01,239.83,,,,11.51,65.17,2938049000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02600,2600.HK,Basic Materials,8.3,327.35,8.540571,46.62,15.55,-6.07,44.6,,,,16.92,28.01,34092341000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02611,2611.HK,Financial Services,15.24,534.28,10.711051,17.89,18.56,21.35,34.19,,,,8.42,24.11,81138252377.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02618,2618.HK,Industrials,13.99,926.7,11.561983,16.53,16.76,16.48,nan,,,,12.16,18.02,18765124000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02688,2688.HK,Utilities,43.78,495.59,7.121053,40.68,73.8,0.56,0.21,,,,12.35,18.62,10433000000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02689,2689.HK,Basic Materials,7.66,359.42,9.895426,23.17,9.97,-3.99,-52.13,,,,1.56,49.88,-794199000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
86618,86618.HK,,31.82,1021.74,18.940476,50.09,63.75,,,,,,nan,,,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
89618,89618.HK,,102.0,2546.45,22.369505,22.43,131.5,,,,,,nan,,,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
89988,89988.HK,,95.0,18218.15,17.216383,44.28,170.5,,,,,,nan,,,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00010,0010.HK,Real Estate,13.5,183.82,13.417416,23.03,17.54,-1.63,-20.42,,,,1.39,23.33,6062000000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01378,1378.HK,Basic Materials,23.3,2287.83,8.781974,43.67,41.36,7.22,37.53,,,,17.07,29.56,38995459000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01415,1415.HK,Technology,21.22,184.61,12.244228,50.72,43.06,46.37,32.68,,,,27.12,10.85,316306000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01428,1428.HK,Financial Services,6.33,107.42,16.025316,62.5,16.88,4.57,2.6,,,,30.86,51.4,-540421000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02883,2883.HK,Energy,7.05,127.68,7.767508,39.95,11.74,12.14,17.66,,,,8.25,20.0,11289935638.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09618,9618.HK,Consumer Cyclical,118.1,2948.39,20.578498,17.87,143.8,7.76,23.67,,,,8.72,15.41,18991000000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09633,9633.HK,Consumer Defensive,39.9,2008.83,24.432142,29.07,56.25,16.5,23.15,,,,40.2,6.89,21141652000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09636,9636.HK,Consumer Defensive,31.98,148.39,14.08728,61.95,84.05,22.85,26.02,,,,31.04,0.08,824247000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06862,6862.HK,Consumer Cyclical,11.26,627.63,13.529653,36.95,17.86,11.67,43.36,,,,40.44,26.87,5664189000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06886,6886.HK,Financial Services,17.06,293.27,8.047952,22.24,21.94,1.74,14.02,,,,7.92,28.16,-12601571386.35,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00856,0856.HK,Technology,9.09,129.99,9.307803,28.54,12.72,8.08,18.03,,,,13.35,21.48,1954632000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00857,0857.HK,Energy,10.21,2154.2,10.200163,16.45,12.22,-4.01,1.88,,,,9.92,12.51,412510000000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00868,0868.HK,Basic Materials,8.85,391.52,12.762993,28.34,12.35,-2.87,-15.53,,,,7.41,10.09,5321500000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01109,1109.HK,Real Estate,32.68,2330.39,8.238997,18.05,39.88,10.77,-3.28,,,,8.78,26.66,38793151000.0,2026-07-24,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
