代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
00325,0325.HK,Consumer Cyclical,54.35,134.24,18.326325,58.06,129.6,107.61,nan,,,,22.09,0.82,896927000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00780,0780.HK,Consumer Cyclical,14.41,339.21,11.834897,43.31,25.42,43.35,nan,,,,10.51,12.89,4310911000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00788,0788.HK,Communication Services,9.9,461.97,12.09277,22.96,12.85,2.9,9.79,,,,5.7,26.88,56116000000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00867,0867.HK,Healthcare,12.07,293.66,17.625944,22.78,15.63,-3.54,-22.98,,,,8.56,3.59,758421000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00902,0902.HK,Utilities,6.18,290.48,6.094675,19.0,7.63,-2.41,nan,,,,10.11,50.49,67212899994.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01099,1099.HK,Healthcare,17.7,237.5,6.735049,20.77,22.34,1.37,-5.67,,,,8.52,18.18,14138206000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01199,1199.HK,Industrials,5.29,212.5,8.34993,19.36,6.56,5.01,0.6,,,,4.87,32.47,611634000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01318,1318.HK,Consumer Defensive,60.9,298.52,22.268848,45.63,112.0,40.29,50.66,,,,25.8,1.38,1199426000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01364,1364.HK,Consumer Cyclical,22.86,543.61,13.637141,26.92,31.28,32.44,103.93,,,,53.39,39.16,2408612000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02097,2097.HK,Consumer Defensive,229.0,345.79,13.146731,54.43,502.5,35.21,43.39,,,,24.08,0.61,6039033000.0,2026-07-29,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
