代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
00325,0325.HK,Consumer Cyclical,54.85,135.48,18.433505,57.15,128.0,107.61,nan,,,,22.09,0.82,896927000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00780,0780.HK,Consumer Cyclical,13.84,325.79,11.329012,45.55,25.42,43.35,nan,,,,10.51,12.89,4310911000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00788,0788.HK,Communication Services,9.795,457.07,11.964513,23.77,12.85,2.9,9.79,,,,5.7,26.88,56116000000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00836,0836.HK,Utilities,18.68,967.06,6.661912,15.7,22.16,-0.42,25.6,,,,12.1,53.31,44650887000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00867,0867.HK,Healthcare,12.0,291.96,16.777175,23.22,15.63,-3.54,-22.98,,,,8.56,3.59,758421000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01099,1099.HK,Healthcare,17.1,229.45,6.485135,23.46,22.34,1.37,-5.67,,,,8.52,18.18,14138206000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01199,1199.HK,Industrials,5.12,205.67,8.079187,21.95,6.56,5.01,0.6,,,,4.87,32.47,611634000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01318,1318.HK,Consumer Defensive,53.7,263.23,19.636078,52.05,112.0,40.29,50.66,,,,25.8,1.38,1199426000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01364,1364.HK,Consumer Cyclical,23.16,550.74,13.770227,25.96,31.28,32.44,103.93,,,,53.39,39.16,2408612000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02259,2259.HK,Basic Materials,131.4,3516.26,22.343139,50.97,268.0,43.6,105.82,,,,19.12,5.2,2402470000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02580,2580.HK,Industrials,11.33,179.92,6.25653,32.52,16.79,15.45,15.73,,,,22.44,4.97,2887051000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02788,2788.HK,Basic Materials,16.32,338.64,9.624969,51.94,33.96,11.46,45.79,,,,28.38,44.41,4925305000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02921,2921.HK,,42.22,494.44,17.466035,,,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02997,2997.HK,,52.7,280.89,15.266005,,,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03355,3355.HK,Technology,35.64,144.58,21.026549,37.47,57.0,14.26,18.17,,,,27.85,16.08,816725000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06031,6031.HK,Industrials,20.68,149.1,19.942141,23.86,27.16,3.53,25.14,,,,9.52,14.27,19975261000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06656,6656.HK,Industrials,317.8,451.28,24.470624,52.5,669.0,1142.49,nan,,,,77.05,20.65,-199990000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06936,6936.HK,Industrials,32.78,150.46,13.357783,30.46,47.14,4.84,21.66,,,,11.19,21.2,27555275000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
07618,7618.HK,Consumer Cyclical,13.52,366.8,14.322034,21.26,17.17,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09973,9973.HK,Consumer Cyclical,25.46,599.58,6.863016,27.22,34.98,48.01,44.79,,,,37.47,7.73,20130000000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02899,2899.HK,Basic Materials,35.3,2114.12,13.725107,24.86,46.98,8.9,37.21,,,,27.91,32.13,75429516296.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02883,2883.HK,Energy,6.825,123.61,7.519609,41.87,11.74,12.14,17.66,,,,8.25,20.0,11289935638.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09636,9636.HK,Consumer Defensive,28.86,133.62,12.712912,65.66,84.05,22.85,26.02,,,,31.04,0.08,824247000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06862,6862.HK,Consumer Cyclical,11.25,627.08,13.517638,37.01,17.86,11.67,43.36,,,,40.44,26.87,5664189000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06886,6886.HK,Financial Services,16.77,288.28,7.911146,23.56,21.94,1.74,14.02,,,,7.92,28.16,-12601571386.35,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02588,2588.HK,Industrials,75.8,526.05,8.61826,17.56,91.95,4.01,239.83,,,,11.51,65.17,2938049000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02600,2600.HK,Basic Materials,8.405,331.49,8.457671,45.95,15.55,-6.07,44.6,,,,16.92,28.01,34092341000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02611,2611.HK,Financial Services,14.36,503.43,10.280288,22.63,18.56,21.35,34.19,,,,8.42,24.11,81138252377.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02688,2688.HK,Utilities,47.0,532.04,7.615079,36.31,73.8,0.56,0.21,,,,12.35,18.62,10433000000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02689,2689.HK,Basic Materials,7.99,374.91,10.321731,19.86,9.97,-3.99,-52.13,,,,1.56,49.88,-794199000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
86618,86618.HK,,33.74,1083.39,20.083333,47.07,63.75,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
89618,89618.HK,,109.3,2728.7,23.97046,16.88,131.5,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
89988,89988.HK,,106.7,20461.86,19.336716,37.42,170.5,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00010,0010.HK,Real Estate,13.46,183.27,12.866839,23.26,17.54,-1.63,-20.42,,,,1.39,23.33,6062000000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01378,1378.HK,Basic Materials,23.56,2313.36,8.87997,43.04,41.36,7.22,37.53,,,,17.07,29.56,38995459000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01415,1415.HK,Technology,22.56,196.27,13.012935,47.61,43.06,46.37,32.68,,,,27.12,10.85,316306000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01428,1428.HK,Financial Services,6.99,118.62,17.696203,58.59,16.88,4.57,2.6,,,,30.86,51.4,-540421000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00856,0856.HK,Technology,10.24,146.43,10.485357,19.5,12.72,8.08,18.03,,,,13.35,21.48,1954632000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00857,0857.HK,Energy,9.415,1986.46,9.580874,22.95,12.22,-4.01,1.88,,,,9.92,12.51,412510000000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00868,0868.HK,Basic Materials,9.335,413.26,12.231654,24.41,12.35,-2.87,-15.53,,,,7.41,10.09,5321500000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01109,1109.HK,Real Estate,32.86,2343.23,8.284378,17.6,39.88,10.77,-3.28,,,,8.78,26.66,38793151000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
