二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
30,SSRM,Basic Materials,64.9,B-保留观察,8.0,23.732814,29.85,12.39,26.8,否,FCF/NI<70%,36.52,12.39,26.8,43.14,14.55,0.97,52.78,24.28,11.28,7.02,6.2,0.11,31.4,2.08,0.29,0.61,-0.59,471853000.0
31,LVS,Consumer Cyclical,64.4,B-保留观察,6.0,18.962291,30.6,46.86,-3.88,否,ROE>40%,70.45,46.86,-3.88,nan,40.59,18.0,49.79,12.5,102.33,7.64,72.01,9.93,3.97,1.14,0.61,1.09,-4.05,3023000000.0
32,ANF,Consumer Cyclical,63.6,B-保留观察,7.0,9.508566,25.22,12.51,464.64,否,利润增长显著快于营收,133.11,12.51,464.64,nan,11.98,5.94,61.47,9.63,36.11,14.82,32.98,0.83,304.48,1.49,1.54,0.75,-3.21,619142000.0
33,AGI,Basic Materials,63.4,B-保留观察,21.0,9.97491,49.77,30.11,187.95,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,55.41,30.11,187.95,38.63,,-1.27,55.25,48.97,19.92,15.12,3.49,0.05,103.8,2.0,0.31,0.31,2.16,795300000.0
34,CRM,Technology,63.4,B-保留观察,7.0,21.361482,31.62,9.82,229.74,否,利润增长显著快于营收,269.11,9.82,229.74,28.24,10.06,,77.68,17.96,12.61,6.93,15.29,0.29,,0.76,0.39,1.93,-1.8,14996000000.0
35,ZTS,Healthcare,63.3,B-保留观察,6.0,12.656163,51.84,5.42,8.13,否,ROE>40%,160.48,5.42,8.13,14.95,9.38,1.19,71.84,28.23,80.25,18.0,59.73,2.77,16.14,3.03,0.64,0.85,-2.88,2904000000.0
36,TMDX,,62.9,B-保留观察,0.0,17.134197,,86.42,nan,否,无,,86.42,nan,,,,59.92,31.43,nan,,,,8.8,,,nan,,
37,LOGI,Technology,62.7,B-保留观察,7.0,18.815978,20.96,2.17,24.95,否,利润增长显著快于营收,129.66,2.17,24.95,24.77,-7.07,-10.48,43.2,14.69,32.16,19.25,2.29,0.04,,2.22,1.31,1.37,-3.43,1037207000.0
38,AOS,Industrials,62.6,B-保留观察,7.0,16.028307,26.55,0.67,32.33,否,利润增长显著快于营收,81.87,0.67,32.33,16.37,0.06,-2.45,38.83,14.26,29.4,17.11,6.11,0.1,53.97,1.5,1.2,1.0,-2.87,616800000.0
39,WPM,Basic Materials,61.4,B-保留观察,16.0,27.554204,34.22,29.53,30.05,否,应收增速>营收；FCF/NI<70%,165.76,29.53,30.05,36.84,70.03,nan,72.22,63.58,16.93,17.78,0.09,0.0,3959.2,7.78,0.28,0.38,0.13,1904981000.0
40,RELX,Industrials,60.9,B-保留观察,6.0,21.394535,31.87,3.89,8.12,否,ROE>40%,51.99,3.89,8.12,5.71,1.38,0.22,66.29,21.53,87.28,13.82,49.24,3.07,11.07,0.49,0.64,1.12,-1.6,2836000000.0
41,BZ,Communication Services,60.8,B-保留观察,21.0,15.653921,35.55,22.38,194.36,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,25.26,22.38,194.36,65.57,49.78,nan,85.06,33.09,13.66,12.47,0.64,0.01,,4.66,0.38,1.62,2.46,4552371000.0
42,NOC,Industrials,60.3,B-保留观察,0.0,17.221795,29.91,4.65,-5.12,否,无,774.0,4.65,-5.12,17.92,-3.1,10.2,19.81,9.97,25.08,8.3,33.13,1.02,8.62,1.1,0.83,0.79,-2.49,4757000000.0
43,AXIA,Utilities,59.9,B-保留观察,0.0,16.350944,22.67,6.6,21.74,否,无,13.54,6.6,21.74,40.82,5.16,-0.53,87.8,15.89,5.54,2.3,27.63,0.65,0.16,1.68,0.14,1.83,-0.77,14509830000.0
44,VICI,Real Estate,59.4,B-保留观察,6.0,10.213178,22.52,15.49,35.42,否,股数膨胀>2%,34.01,15.49,35.42,8.9,-38.52,,99.33,69.28,9.98,6.03,37.86,0.64,4.34,26.68,0.09,0.9,3.53,2509991000.0
45,ZM,Technology,59.4,B-保留观察,7.0,14.096632,16.27,3.49,163.63,否,利润增长显著快于营收,114.74,3.49,163.63,15.52,-3.73,,77.02,39.03,19.37,16.56,0.49,0.01,,4.33,0.42,1.01,0.19,1989048000.0
46,BFAM,Consumer Cyclical,59.2,B-保留观察,7.0,22.373171,42.99,13.24,33.79,否,利润增长显著快于营收,130.76,13.24,33.79,23.0,10.62,,23.77,6.58,14.42,4.99,45.26,1.31,7.03,0.52,0.76,1.34,-1.12,350726000.0
47,ALSN,Consumer Cyclical,58.8,B-保留观察,0.0,17.813375,16.77,2.82,5.47,否,无,137.62,2.82,5.47,8.36,-2.83,12.15,48.6,20.7,33.37,10.91,47.52,1.55,9.74,4.85,0.53,1.06,-3.37,836000000.0
48,YMM,Technology,58.0,B-保留观察,15.0,16.4999,32.55,22.87,121.3,否,利润增长显著快于营收；应收增速>营收,14.07,22.87,121.3,nan,79.39,,63.02,35.29,11.01,10.3,0.08,0.0,,8.09,0.29,1.02,-0.71,4626880000.0
49,ACM,Industrials,57.4,C-暂缓,0.0,18.900783,46.58,7.07,21.84,否,无,135.52,7.07,21.84,4.81,2.51,,7.54,3.48,22.54,4.63,26.47,1.3,5.97,1.14,1.33,1.22,-1.75,821602000.0
50,IT,Technology,57.1,C-暂缓,6.0,15.004647,55.23,5.87,-3.35,否,ROE>40%,337.29,5.87,-3.35,5.42,2.66,,68.39,11.22,227.95,8.78,41.41,10.47,8.73,1.0,0.78,1.61,-3.64,1290365000.0
51,HII,Industrials,56.5,C-暂缓,0.0,21.211826,29.03,5.35,1.47,否,无,460.0,5.35,1.47,16.01,-18.92,6.17,12.7,4.85,11.93,4.86,22.93,0.58,8.4,1.13,1.0,1.31,-0.55,1196000000.0
52,SGI,Consumer Cyclical,56.3,C-暂缓,6.0,26.564156,33.72,14.96,-5.54,否,股数膨胀>2%,98.56,14.96,-5.54,28.31,-5.34,4.32,42.58,5.14,12.36,4.37,57.54,2.15,2.8,0.83,0.85,1.65,7.2,800100000.0
53,XYL,Industrials,56.0,C-暂缓,13.0,27.830691,24.18,17.84,39.17,否,利润增长显著快于营收；股数膨胀>2%,154.27,17.84,39.17,27.7,17.08,7.15,38.46,10.59,8.34,5.61,11.7,0.18,41.72,1.62,0.53,0.95,10.57,1241000000.0
54,CCL,Consumer Cyclical,55.9,C-暂缓,0.0,12.759485,18.28,29.81,nan,否,无,34.03,29.81,nan,nan,19.73,5.67,40.1,10.37,22.47,5.48,54.16,2.28,3.05,0.32,0.53,0.94,1.41,6218000000.0
55,CVSA,Consumer Defensive,55.6,C-暂缓,8.0,19.423321,20.1,8.97,-8.65,否,应收增速>营收,156.26,8.97,-8.65,217.06,21.44,,56.86,13.26,16.54,8.63,28.12,0.54,7.73,0.82,0.65,1.21,-7.33,337899000.0
56,CRH,Basic Materials,55.4,C-暂缓,0.0,17.562883,27.78,4.6,-1.15,否,无,131.55,4.6,-1.15,13.97,3.14,7.78,36.13,9.96,15.54,6.85,33.78,0.82,6.93,1.74,0.69,0.78,-3.53,5625000000.0
57,VMI,Industrials,55.4,C-暂缓,0.0,18.754059,17.76,-1.89,10.1,否,无,585.71,-1.89,10.1,11.85,-0.78,-8.06,30.21,8.16,20.5,9.99,27.47,0.57,10.31,2.35,1.23,0.93,-3.72,456484000.0
58,MLCO,Consumer Cyclical,55.4,C-暂缓,0.0,9.862884,43.55,56.39,nan,否,无,10.15,56.39,nan,nan,31.18,11.8,36.73,3.58,-14.84,2.37,92.46,-5.64,1.32,1.07,0.66,2.57,-5.07,818115000.0
59,CTSH,Technology,55.3,C-暂缓,0.0,11.922705,36.4,2.8,-0.88,否,无,87.03,2.8,-0.88,3.93,5.35,,33.72,10.56,14.85,10.97,5.57,0.08,95.03,2.14,1.04,1.16,-2.0,2883000000.0
60,TEL,Technology,55.3,C-暂缓,0.0,20.143014,18.56,1.97,-8.8,否,无,252.56,1.97,-8.8,18.81,5.9,0.29,35.22,10.67,14.64,7.69,23.2,0.46,42.61,1.56,0.72,1.74,-2.53,4139000000.0
61,FISV,,55.2,C-暂缓,0.0,9.142373,61.59,6.11,11.21,否,无,140.42,6.11,11.21,9.49,3.55,,59.36,16.42,13.49,4.42,36.34,1.13,3.79,1.03,0.27,1.24,-5.36,6062000000.0
62,ASR,Industrials,55.2,C-暂缓,18.0,14.538263,27.76,13.73,1.65,否,经营现金流3Y为负；FCF/NI<70%,381.52,13.73,1.65,-2.97,0.27,12.94,46.57,28.17,26.55,12.13,39.89,0.9,10.74,3.03,0.43,0.43,0.0,12348613000.0
63,COF,Financial Services,54.9,C-暂缓,6.0,12.188939,19.5,15.98,-30.67,否,股数膨胀>2%,259.64,15.98,-30.67,26.14,18.4,,nan,4.59,2.16,0.42,7.54,0.44,,,0.09,10.66,17.91,27718000000.0
64,WAY,Healthcare,54.7,C-暂缓,6.0,29.98456,49.1,15.97,nan,否,股数膨胀>2%,41.47,15.97,nan,44.5,18.24,,68.33,10.2,2.89,2.16,25.77,0.38,3.22,1.41,0.21,2.53,4.76,309673000.0
65,AG,Basic Materials,54.4,C-暂缓,14.0,25.606559,53.09,26.37,nan,否,应收增速>营收；股数膨胀>2%,32.04,26.37,nan,202.58,115.76,9.38,35.57,13.04,5.97,4.94,6.58,0.11,27.69,2.6,0.38,1.88,21.42,526010000.0
66,LHX,Industrials,53.9,C-暂缓,0.0,27.99463,26.94,8.62,14.78,否,无,379.23,8.62,14.78,12.91,3.1,-1.89,25.73,7.35,8.18,3.86,26.98,0.57,4.24,1.19,0.53,1.67,-0.66,3106000000.0
67,INGR,Consumer Defensive,53.7,C-暂缓,0.0,9.559264,23.88,-3.15,14.0,否,无,130.67,-3.15,14.0,83.81,-4.93,-8.41,25.32,10.1,16.8,9.5,24.96,0.45,27.32,2.66,0.94,0.7,-1.39,944000000.0
68,CNM,Industrials,53.4,C-暂缓,6.0,18.638298,34.55,4.76,6.41,否,股数膨胀>2%,67.18,4.76,6.41,17.47,4.85,-1.98,26.93,5.77,22.08,7.38,40.05,1.22,6.06,2.63,1.28,1.37,3.0,650000000.0
69,NHI,Real Estate,52.4,C-暂缓,6.0,24.72142,16.12,10.53,28.89,否,股数膨胀>2%,91.38,10.53,28.89,8.47,1.45,,97.08,37.85,9.34,5.25,41.61,0.76,3.61,1.07,0.14,1.66,3.64,236563000.0
70,BX,Financial Services,52.4,C-暂缓,10.0,28.59851,32.79,20.27,19.99,否,经营现金流3Y为负,190.09,20.27,19.99,-9.71,,,nan,24.33,34.84,6.62,27.89,1.54,,,0.27,1.51,1.79,4663161000.0
71,CHDN,Consumer Cyclical,52.2,C-暂缓,8.0,14.312394,28.77,17.37,-4.48,否,应收增速>营收,118.35,17.37,-4.48,12.77,40.27,-16.82,33.58,13.09,37.93,5.19,68.66,5.09,2.79,0.6,0.4,0.81,-2.37,769800000.0
72,OBDC,Financial Services,51.7,C-暂缓,6.0,15.143255,26.02,9.83,10.39,否,股数膨胀>2%,14.53,9.83,10.39,100.13,,,nan,88.41,8.48,4.04,54.11,1.26,,,0.05,2.78,8.37,1741520000.0
73,MBGL,Technology,51.6,C-暂缓,0.0,27.712809,21.62,8.56,-7.32,否,无,26.0,8.56,-7.32,11.09,3.64,,nan,8.0,1.22,1.07,1.91,0.02,2.92,1.07,0.13,3.29,0.0,485000000.0
74,XP,Financial Services,51.2,C-暂缓,8.0,8.967266,26.24,10.28,13.04,否,应收增速>营收,23.13,10.28,13.04,88.31,29.34,,24.47,64.89,21.96,1.39,26.28,4.43,9.71,0.71,0.02,2.24,-1.43,12044826000.0
75,SUNB,Industrials,51.0,C-暂缓,0.0,22.831746,17.03,4.88,-6.44,否,无,86.68,4.88,-6.44,55.82,6.42,-0.24,38.46,11.88,17.88,5.99,46.91,1.41,5.65,0.9,0.5,1.2,-2.12,3784000000.0
76,COR,Healthcare,50.4,C-暂缓,6.0,23.857471,17.53,10.43,-2.92,否,ROE>40%,377.54,10.43,-2.92,12.76,10.98,9.62,3.57,0.48,103.06,2.16,10.0,5.08,6.38,0.9,4.47,2.06,-2.02,3875120000.0
77,MGNI,Communication Services,50.0,C-暂缓,6.0,18.683283,27.58,7.35,nan,否,股数膨胀>2%,26.65,7.35,nan,7.04,10.06,,62.66,20.26,15.68,4.81,19.79,0.68,4.73,1.02,0.24,1.05,2.18,236168000.0
78,BAH,Industrials,49.9,C-暂缓,13.0,10.963135,39.1,6.6,46.44,否,利润增长显著快于营收；ROE>40%,114.48,6.6,46.44,19.96,0.2,,52.71,7.59,77.01,11.79,57.91,3.73,5.14,1.78,1.55,1.12,-2.95,1041000000.0
79,MGY,Energy,49.6,C-暂缓,10.0,14.861272,21.52,-8.18,-28.61,否,经营现金流3Y为负,32.76,-8.18,-28.61,-12.17,-11.96,,47.29,24.79,16.77,11.36,14.17,0.21,20.31,1.54,0.46,1.26,-1.91,878639000.0
80,SSNC,Technology,49.6,C-暂缓,0.0,22.169351,15.39,5.89,7.02,否,无,91.07,5.89,7.02,15.44,5.69,,48.17,12.71,11.57,4.01,36.92,1.11,3.24,1.07,0.32,1.81,-1.29,1744800000.0
81,GPI,,49.2,C-暂缓,0.0,10.949599,,11.64,-24.36,否,无,,11.64,-24.36,5.83,,,16.05,1.44,nan,,,,2.58,,,1.31,,694500000.0
82,AROC,Energy,49.1,C-暂缓,21.0,19.433283,15.32,20.78,93.77,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,42.23,20.78,93.77,45.15,1.15,9.05,48.57,21.63,21.61,7.89,55.67,1.62,3.56,1.54,0.36,0.37,3.96,622107000.0
83,CBZ,Industrials,49.1,C-暂缓,6.0,27.767541,18.08,25.0,3.1,否,股数膨胀>2%,67.24,25.0,3.1,15.13,20.61,,12.89,4.19,6.55,2.6,41.47,1.04,2.5,1.22,0.62,1.52,2.72,192485000.0
84,OSK,Industrials,48.9,C-暂缓,7.0,16.283474,21.1,7.96,54.95,否,利润增长显著快于营收,180.49,7.96,54.95,9.22,7.81,8.38,17.45,6.21,14.28,6.64,10.93,0.24,8.16,1.94,1.07,0.88,-1.49,783400000.0
85,WYNN,Consumer Cyclical,48.9,C-暂缓,0.0,28.439241,26.28,23.86,nan,否,无,134.72,23.86,nan,nan,23.06,8.07,41.43,4.59,-118.82,2.51,92.89,-44.2,1.82,1.63,0.55,2.11,-2.84,1352653000.0
86,CSL,Industrials,47.8,C-暂缓,6.0,20.692604,16.86,-2.7,-7.11,否,ROE>40%,432.91,-2.7,-7.11,3.25,-1.18,-4.77,35.71,14.76,41.26,12.26,46.01,1.6,13.09,3.09,0.83,1.31,-6.96,1101800000.0
87,MKC,Consumer Defensive,47.8,C-暂缓,0.0,8.468994,29.87,2.51,5.0,否,无,72.58,2.51,5.0,13.88,3.11,-1.72,37.9,11.54,13.76,6.01,31.54,0.73,5.65,0.7,0.52,0.94,0.05,962200000.0
88,ATR,Healthcare,47.6,C-暂缓,0.0,22.887037,15.28,4.37,17.96,否,无,158.12,4.37,17.96,6.0,5.89,3.38,37.19,10.4,14.72,8.11,29.14,0.57,10.32,1.62,0.78,0.75,-0.51,569999000.0
89,TOWN,,47.0,C-暂缓,0.0,10.846017,,6.7,-3.56,否,无,,6.7,-3.56,,,,nan,20.33,nan,,,,,,,nan,,
90,FRT,,46.4,C-暂缓,0.0,21.506066,,5.98,2.17,否,无,,5.98,2.17,6.39,8.11,,67.25,32.14,12.65,4.66,55.07,1.55,3.31,1.04,0.14,0.81,1.98,622378000.0
91,WMS,Industrials,46.2,C-暂缓,0.0,25.474178,22.77,-0.23,-5.61,否,无,179.31,-0.23,-5.61,4.99,5.13,5.41,38.27,13.98,22.07,10.41,39.8,0.93,6.96,2.42,0.74,1.33,-0.75,819054000.0
92,OTIS,Industrials,45.6,C-暂缓,0.0,18.490711,23.91,1.79,3.37,否,无,94.56,1.79,3.37,0.76,4.51,-0.22,30.28,9.59,-25.67,12.6,79.89,-1.58,,0.85,1.31,1.04,-2.05,1596000000.0
93,AEO,Consumer Cyclical,45.5,C-暂缓,0.0,10.668064,39.63,3.59,15.33,否,无,28.46,3.59,15.33,3.94,2.18,6.26,36.51,3.46,11.34,4.9,42.41,1.0,22.93,1.51,1.42,1.02,-4.68,456182000.0
94,BDC,Technology,45.5,C-暂缓,0.0,20.858541,22.46,1.37,-2.3,否,无,159.99,1.37,-2.3,8.05,1.69,5.61,37.98,8.75,18.78,6.91,39.57,1.11,6.76,1.93,0.79,0.92,-3.12,354864000.0
95,MAIN,Financial Services,45.3,C-暂缓,14.0,11.472022,19.71,22.98,26.87,否,FCF/NI<70%；股数膨胀>2%,67.77,22.98,26.87,nan,,,nan,83.37,16.48,9.13,43.25,0.82,,,0.11,-0.09,4.61,-45705000.0
96,EVR,,45.2,C-暂缓,0.0,18.059806,,,,否,无,,,,33.22,,,nan,nan,nan,,,,,,,nan,,1256464000.0
97,LW,Consumer Defensive,44.8,C-暂缓,0.0,25.264423,21.65,7.31,-34.0,否,无,67.07,7.31,-34.0,7.37,2.47,1.29,20.56,4.39,15.89,3.93,53.43,2.16,3.27,1.42,0.9,1.86,-1.92,942900000.0
98,PLMR,,44.8,C-暂缓,0.0,18.659693,,,,否,无,,,,34.12,,,nan,nan,nan,,,,,,,nan,,409121000.0
99,AMT,Real Estate,44.7,C-暂缓,6.0,23.847445,20.25,3.34,12.73,否,ROE>40%,217.39,3.34,12.73,13.92,-4.99,,74.18,23.76,69.25,4.07,71.16,12.31,3.24,0.4,0.17,1.5,0.05,5464000000.0
100,OTEX,Technology,44.6,C-暂缓,10.0,12.413804,36.49,13.94,3.15,否,经营现金流3Y为负,39.9,13.94,3.15,-5.42,15.63,,72.25,8.43,11.09,3.12,48.23,1.69,2.28,0.8,0.37,1.58,-1.4,830618000.0
101,MRP,Real Estate,43.8,C-暂缓,0.0,10.033176,22.28,nan,nan,否,无,36.0,nan,nan,nan,,nan,85.39,63.26,6.49,5.16,22.81,0.36,5.36,1.96,0.08,9.67,0.0,3672821000.0
102,BANF,Financial Services,43.7,C-暂缓,8.0,15.224734,18.7,7.4,7.61,否,应收增速>营收,138.77,7.4,7.61,8.03,28.87,,nan,34.84,12.98,1.69,0.66,0.05,,,0.05,0.98,0.67,285278000.0
103,TTD,,43.3,C-暂缓,0.0,20.335811,,,,否,无,,,,,17.11,,nan,nan,nan,nan,7.09,0.18,,1.61,,nan,-1.0,
104,HOG,Consumer Cyclical,43.2,C-暂缓,0.0,13.811424,21.47,-8.06,-22.98,否,无,31.25,-8.06,-22.98,1.23,-15.96,-8.4,30.02,7.57,10.79,3.4,37.96,0.97,14.72,2.1,0.45,1.23,-8.52,568922000.0
105,VG,Energy,43.1,C-暂缓,16.0,14.862918,24.06,28.77,10.84,否,应收增速>营收；FCF/NI<70%,17.62,28.77,10.84,21.05,69.06,113.49,50.17,18.37,37.52,5.22,65.3,5.18,3.31,0.93,0.28,-2.69,0.51,6566000000.0
106,CLX,Consumer Defensive,42.7,C-暂缓,13.0,15.479623,25.89,-0.01,20.58,否,利润增长显著快于营收；ROE>40%,128.9,-0.01,20.58,7.67,5.73,-11.52,45.23,11.4,252.34,14.32,51.79,8.97,13.25,0.84,1.26,0.94,-0.12,981000000.0
107,YUMC,Consumer Cyclical,42.5,C-暂缓,7.0,18.547776,17.49,7.23,28.09,否,利润增长显著快于营收,58.39,7.23,28.09,1.23,14.07,1.65,17.28,7.87,17.27,8.48,21.72,0.44,,1.05,1.08,0.9,-5.45,1466000000.0
108,AMRZ,Basic Materials,42.1,C-暂缓,0.0,23.402899,25.83,3.28,2.26,否,无,65.94,3.28,2.26,3.56,3.77,8.09,25.68,10.03,8.94,4.93,26.16,0.48,4.62,1.64,0.49,1.2,0.02,2208000000.0
