代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
00325,0325.HK,Consumer Cyclical,76.6,189.2,22.499245,30.36,110.0,107.61,nan,,,,22.09,0.82,896927000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00625,0625.HK,Consumer Cyclical,38.14,1619.5,13.097527,21.46,48.56,,,,,,nan,,,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00780,0780.HK,Consumer Cyclical,12.02,282.95,9.885244,52.71,25.42,43.35,nan,,,,10.51,12.89,4310911000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00788,0788.HK,Communication Services,9.06,422.77,10.147269,29.49,12.85,2.9,9.79,,,,5.7,26.88,56116000000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00836,0836.HK,Utilities,18.68,967.06,7.274143,15.7,22.16,-0.42,25.6,,,,12.1,53.31,44650887000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00867,0867.HK,Healthcare,11.04,268.6,14.914183,29.37,15.63,-3.54,-22.98,,,,8.56,3.59,758421000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00902,0902.HK,Utilities,5.62,264.16,6.482122,26.34,7.63,-2.41,nan,,,,10.11,50.49,67212899994.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01093,1093.HK,Healthcare,9.685,1115.91,12.745867,16.72,11.63,-5.62,-13.94,,,,11.7,1.37,5831641000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01199,1199.HK,Industrials,5.57,223.75,7.66764,15.09,6.56,5.01,0.6,,,,4.87,32.47,611634000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01208,1208.HK,Basic Materials,9.22,1184.4,13.649513,22.91,11.96,24.09,43.5,,,,12.86,24.96,2689500000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01318,1318.HK,Consumer Defensive,50.4,247.05,15.815408,55.0,112.0,40.29,50.66,,,,25.8,1.38,1199426000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01364,1364.HK,Consumer Cyclical,25.0,584.75,16.67509,20.08,31.28,32.44,103.93,,,,53.39,39.16,2408612000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01828,1828.HK,Financial Services,33.8,432.64,21.298047,33.46,50.8,28.19,nan,,,,2.44,5.07,247000000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02580,2580.HK,Industrials,9.4,149.27,8.468671,43.71,16.7,15.45,15.73,,,,22.44,4.97,2887051000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02610,2610.HK,Basic Materials,25.62,158.84,8.952004,65.75,74.8,34.74,82.05,,,,21.92,0.0,359719000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02788,2788.HK,Basic Materials,17.95,372.46,7.760484,47.14,33.96,11.46,45.79,,,,28.38,44.41,4925305000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02921,2921.HK,,42.22,494.44,17.466035,,,,,,,,nan,,,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02997,2997.HK,,52.7,280.89,15.190779,,,,,,,,nan,,,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03355,3355.HK,Technology,43.92,178.17,19.855335,22.95,57.0,14.26,18.17,,,,27.85,16.08,816725000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03858,3858.HK,Basic Materials,55.4,252.62,13.053277,68.56,176.2,nan,nan,,,,19.04,35.79,510367000.0,2026-09-04,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
