代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
00325,0325.HK,Consumer Cyclical,52.65,130.05,17.707707,58.87,128.0,107.61,nan,,,,22.09,0.82,896927000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00780,0780.HK,Consumer Cyclical,14.36,338.03,11.763676,43.51,25.42,43.35,nan,,,,10.51,12.89,4310911000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00788,0788.HK,Communication Services,10.05,468.97,12.275994,21.79,12.85,2.9,9.79,,,,5.7,26.88,56116000000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00867,0867.HK,Healthcare,12.07,293.66,17.625944,22.78,15.63,-3.54,-22.98,,,,8.56,3.59,758421000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00902,0902.HK,Utilities,6.11,287.19,6.025641,19.92,7.63,-2.41,nan,,,,10.11,50.49,67212899994.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01099,1099.HK,Healthcare,17.65,236.83,6.698851,20.99,22.34,1.37,-5.67,,,,8.52,18.18,14138206000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01199,1199.HK,Industrials,5.41,217.32,8.5374,17.53,6.56,5.01,0.6,,,,4.87,32.47,611634000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01318,1318.HK,Consumer Defensive,61.3,300.48,22.415113,45.27,112.0,40.29,50.66,,,,25.8,1.38,1199426000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01364,1364.HK,Consumer Cyclical,23.1,549.32,13.745078,26.15,31.28,32.44,103.93,,,,53.39,39.16,2408612000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02097,2097.HK,Consumer Defensive,227.4,343.37,13.054876,54.75,502.5,35.21,43.39,,,,24.08,0.61,6039033000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02259,2259.HK,Basic Materials,118.2,3163.03,20.098623,55.9,268.0,43.6,105.82,,,,19.12,5.2,2402470000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02714,2714.HK,Consumer Defensive,33.58,104.1,16.926437,33.77,50.7,4.91,5.29,,,,19.93,40.9,30056186914.47,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02788,2788.HK,Basic Materials,16.3,338.23,9.62054,52.0,33.96,11.46,45.79,,,,28.38,44.41,4925305000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02921,2921.HK,,42.22,494.44,17.466035,,,,,,,,nan,,,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02997,2997.HK,,52.7,280.89,15.277703,,,,,,,,nan,,,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03355,3355.HK,Technology,33.04,134.04,19.492625,42.04,57.0,14.26,18.17,,,,27.85,16.08,816725000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06031,6031.HK,Industrials,20.98,151.27,20.231437,22.75,27.16,3.53,25.14,,,,9.52,14.27,19975261000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06656,6656.HK,Industrials,284.2,403.56,21.883422,57.52,669.0,1142.49,nan,,,,77.05,20.65,-199990000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06936,6936.HK,Industrials,34.04,156.24,13.871231,27.79,47.14,4.84,21.66,,,,11.19,21.2,27555275000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
07618,7618.HK,Consumer Cyclical,13.54,367.34,14.34322,21.14,17.17,,,,,,nan,,,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
09973,9973.HK,Consumer Cyclical,26.52,624.55,7.154229,24.19,34.98,48.01,44.79,,,,37.47,7.73,20130000000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02899,2899.HK,Basic Materials,32.52,1947.62,12.644206,30.78,46.98,8.9,37.21,,,,27.91,32.13,75429516296.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06862,6862.HK,Consumer Cyclical,11.96,666.65,14.370751,33.03,17.86,11.67,43.36,,,,40.44,26.87,5664189000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06886,6886.HK,Financial Services,16.85,289.66,7.948886,23.2,21.94,1.74,14.02,,,,7.92,28.16,-12601571386.35,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00010,0010.HK,Real Estate,13.92,189.54,13.834847,20.64,17.54,-1.63,-20.42,,,,1.39,23.33,6062000000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01378,1378.HK,Basic Materials,24.04,2360.49,9.060887,41.88,41.36,7.22,37.53,,,,17.07,29.56,38995459000.0,2026-07-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
